# code	word	tag	mv_freq	lib_freq	v2	reason
cinan	次男	modern-vocab-audit-p2: word	30000	13740	0	次子真词
ciqikou	磁器口	modern-vocab-audit-p2: geo-real	30000	0	0	重庆名胜
conguzhijin	从古至今	modern-vocab-audit-p2: bad-pinyin	30000	0	0	成语
coulong	凑拢	modern-vocab-audit-p2: frag-verb	30000	3094	0	词典动词
cufangxing	粗放型	modern-vocab-audit-p2: frag-np	30000	5577	0	固定经济术语
cunshang	村上	modern-vocab-audit-p2: name-obscure	30000	20471	0	著名日姓
dabache	大巴车	modern-vocab-audit-p2: frag-np	30000	17886	0	常用名词
daibiaozuopin	代表作品	modern-vocab-audit-p2: frag-np	30000	12351	0	简历常用固定语
dakehu	大客户	modern-vocab-audit-p2: frag-np	30000	0	0	商业常用词
dalanqiu	打篮球	modern-vocab-audit-p2: frag-np	30000	22544	0	高频活动短语
damenkou	大门口	modern-vocab-audit-p2: frag-np	30000	20669	0	口语常用单位
daonei	岛内	modern-vocab-audit-p2: frag-grammar	30000	18560	0	新闻常用词
daoshang	岛上	modern-vocab-audit-p2: frag-grammar	30000	24240	0	高频凝固方位
daoyanzu	导演组	modern-vocab-audit-p2: org-local	30000	12464	0	常用词
dashilan	大栅栏	modern-vocab-audit-p2: org-local	30000	0	0	北京名胜
daze	大泽	modern-vocab-audit-p2: name-obscure	30000	10969	0	著名日姓
dazhuxiaozhuluoyupan	大珠小珠落玉盘	modern-vocab-audit-p1-ge5: poem-line	30000	8542	0	名句惯用
deao	德奥	modern-vocab-audit-p2: frag-np	30000	10795	0	德奥合并固定
dengke	登科	modern-vocab-audit-p2: obscure-classical	30000	10992	0	词典历史词
dengken	邓肯	modern-vocab-audit-p2: name-obscure	30000	16142	0	常用译名
dengren	等人	modern-vocab-audit-p2: frag-grammar	30000	0	0	常用动宾词
deyushi	得与失	modern-vocab-audit-p2: stale-300	300	11818	0	固定并称
diaochazu	调查组	modern-vocab-audit-p2: frag-np	30000	17948	0	常用新闻名词
diaohui	调回	modern-vocab-audit-p2: frag-verb	30000	9155	0	常用动补词
didixia	地底下	modern-vocab-audit-p2: frag-grammar	30000	11961	0	口语方位常用
dierdai	第二代	modern-vocab-audit-p2: frag-num	30000	18028	0	序数常用
dierming	第二名	modern-vocab-audit-p2: frag-num	35000	19556	0	名次常用
dierwei	第二位	modern-vocab-audit-p2: frag-num	35000	17890	0	名次常用
dierzhang	第二张	modern-vocab-audit-p2: frag-num	30000	23631	0	序数常用
disanming	第三名	modern-vocab-audit-p2: frag-num	35000	17883	0	名次常用
disanwei	第三位	modern-vocab-audit-p2: frag-num	30000	15672	0	名次常用
disiwei	第四位	modern-vocab-audit-p2: frag-num	30000	15023	0	名次常用
diyichang	第一场	modern-vocab-audit-p2: frag-num	35000	21912	0	序数常用
diyige	第一个	modern-vocab-audit-p2: frag-num	40000	31610	0	序数常用
diyijie	第一届	modern-vocab-audit-p2: frag-num	35000	17691	0	序数常用
diyiming	第一名	modern-vocab-audit-p2: frag-num	30000	23575	0	名次固定词
diyiwei	第一位	modern-vocab-audit-p2: frag-num	35000	24700	0	名次常用
diyuxing	地域性	modern-vocab-audit-p2: frag-np	30000	9526	0	常用词
dongxinanbeizhong	东西南北中	modern-vocab-audit-p1-ge5: slogan	30000	10886	0	固定习语
doushi	都是	modern-vocab-audit-p2: frag-grammar	35000	0	0	高频常用
dubian	渡边	modern-vocab-audit-p2: name-obscure	30000	15177	0	著名日姓
duodeduo	多得多	modern-vocab-audit-p2: frag-grammar	30000	17144	0	口语常用
duoma	堕马	modern-vocab-audit-p2: word	30000	6824	0	词典词堕马髻
duzie	肚子饿	modern-vocab-audit-p2: frag-np	30000	21600	0	常用口语单位
ensite	恩斯特	modern-vocab-audit-p2: name-obscure	30000	14104	0	常见译名
erfei	而非	modern-vocab-audit-p2: frag-grammar	30000	26662	0	固定连词
erjidu	二季度	modern-vocab-audit-p2: frag-num	30000	12527	0	财经常用单位
ershiduosui	二十多岁	modern-vocab-audit-p2: frag-num	30000	17624	0	常用年龄
ershisan	二十三	modern-vocab-audit-p2: frag-num	30000	24962	0	常用数词
fadianbao	发电报	modern-vocab-audit-p2: frag-verb	30000	11018	0	经典动宾单位
fagaoshao	发高烧	modern-vocab-audit-p2: frag-verb	30000	19216	0	口语固定单位
fahei	发黑	modern-vocab-audit-p2: frag-verb	30000	18540	0	常用动词
fajun	法军	modern-vocab-audit-p2: frag-np	30000	15014	0	标准缩略词
falvzixun	法律咨询	modern-vocab-audit-p2: frag-np	30000	0	0	常用服务词
fanchuansai	帆船赛	modern-vocab-audit-p2: frag-np	30000	5311	0	体育标准词
fangke	方可	modern-vocab-audit-p2: frag-grammar	30000	25430	0	书面固定词
fangnei	房内	modern-vocab-audit-p2: frag-grammar	30000	13206	0	常用方位词
fanjing	返京	modern-vocab-audit-p2: frag-verb	30000	14016	0	新闻常用词
fapian	发片	modern-vocab-audit-p2: frag-verb	30000	16656	0	娱乐圈常用语
faxianzhe	发现者	modern-vocab-audit-p2: frag-np	30000	11477	0	常用者字词
fazhanqi	发展期	modern-vocab-audit-p2: word	30000	5354	0	常用词X期
feidudu	肥嘟嘟	modern-vocab-audit-p2: word	30000	15887	0	真实口语词
feihang	飞航	modern-vocab-audit-p2: jargon-slice	30000	14578	0	台湾常用词
feiwang	飞往	modern-vocab-audit-p2: frag-verb	30000	23731	0	常用动词
fenjieduan	分阶段	modern-vocab-audit-p2: frag-grammar	30000	12542	0	常用状语单位
fenlanren	芬兰人	modern-vocab-audit-p2: frag-np	30000	10134	0	国民称谓真词
fentishi	分体式	modern-vocab-audit-p2: frag-np	30000	9783	0	分体式空调
fentuan	分团	modern-vocab-audit-p2: frag-np	30000	11966	0	分部类真词
fenzhansai	分站赛	modern-vocab-audit-p2: frag-np	30000	7788	0	赛事标准词
fucou	辐辏	modern-vocab-audit-p2: obscure-classical	30000	5167	0	词典书面词
fugufeng	复古风	modern-vocab-audit-p2: frag-np	30000	15216	0	生活常用词
fuhexing	复合型	modern-vocab-audit-p2: frag-np	30000	14463	0	复合型人才常用
fujie	符节	modern-vocab-audit-p2: word	30000	9829	0	词典词
fulangci	弗朗茨	modern-vocab-audit-p2: name-obscure	30000	12777	0	标准音译名
fuleize	弗雷泽	modern-vocab-audit-p2: name-obscure	30000	13815	0	标准音译常见
fulushouxicai	福禄寿喜财	modern-vocab-audit-p1-ge5: frag-coord	30000	0	0	固定习语
fuqilia	夫妻俩	modern-vocab-audit-p2: frag-grammar	30000	19295	0	口语常用单位
fuwuhao	服务号	modern-vocab-audit-p2: frag-np	30000	0	0	微信术语
fuwuxing	服务性	modern-vocab-audit-p2: frag-np	30000	9862	0	性字派生真词
fuzhouren	福州人	modern-vocab-audit-p2: frag-np	30000	8407	0	常用籍贯词
fuzongjingli	副总经理	modern-vocab-audit-p2: frag-np	30000	9631	0	标准职衔
gaba	嘎巴	modern-vocab-audit-p2: jargon-slice	30000	12261	0	现汉方言词
gaipian	该片	modern-vocab-audit-p2: frag-grammar	30000	16023	0	常用词
gangcun	冈村	modern-vocab-audit-p2: name-obscure	30000	11079	0	著名日姓
gangjiu	港九	modern-vocab-audit-p2: jargon-slice	30000	14036	0	港九固定简称
gangtian	冈田	modern-vocab-audit-p2: name-obscure	30000	9123	0	著名日姓
gannonghuo	干农活	modern-vocab-audit-p2: frag-verb	30000	0	0	高频口语动宾
gaohuodong	搞活动	modern-vocab-audit-p2: frag-verb	30000	0	0	高频口语动宾
gaonandu	高难度	modern-vocab-audit-p2: frag-np	30000	20820	0	高频固定名词
gaonongdu	高浓度	modern-vocab-audit-p2: frag-np	30000	16627	0	常用科技词
gaopinzhi	高品质	modern-vocab-audit-p2: frag-np	30000	18199	0	常用固定词
gaorebutui	高热不退	modern-vocab-audit-p2: frag-np	30000	0	0	医学惯用语
gaoshuiping	高水平	modern-vocab-audit-p2: frag-np	30000	20058	0	常用固定词
geiqian	给钱	modern-vocab-audit-p2: frag-np	30000	24937	0	高频动宾
gejiangxiangwang	隔江相望	modern-vocab-audit-p2: frag-grammar	30000	0	0	固定表达
geleige	格雷格	modern-vocab-audit-p2: name-obscure	30000	15766	0	常用译名
geleisi	格蕾丝	modern-vocab-audit-p2: name-obscure	30000	8155	0	标准音译名
geliqu	隔离区	modern-vocab-audit-p2: word	30000	12476	0	常用场所词
genbenxing	根本性	modern-vocab-audit-p2: frag-np	30000	13808	0	常用词
gerenhua	个人化	modern-vocab-audit-p2: frag-np	30000	14182	0	常用化缀词
gongchuang	共创	modern-vocab-audit-p2: frag-verb	30000	14179	0	现代常用词
gongdianshi	宫殿式	modern-vocab-audit-p2: frag-np	30000	14836	0	常用式字词
gongjiduan	供给端	modern-vocab-audit-p2: jargon-slice	30000	0	0	财经常用术语
gongteng	工藤	modern-vocab-audit-p2: name-obscure	30000	17266	0	著名日姓
guaizou	拐走	modern-vocab-audit-p2: frag-verb	30000	20947	0	真词被拐走
guanchashi	观察使	modern-vocab-audit-p2: jargon-slice	30000	9467	0	唐代官名词
guanfanji	官翻机	modern-vocab-audit-p2: jargon-slice	30000	0	0	数码真词
guanju	观剧	modern-vocab-audit-p2: frag-verb	30000	0	0	现代常用词
guanlianxing	关联性	modern-vocab-audit-p2: frag-np	30000	7877	0	X性成词常用
guanlichu	管理处	modern-vocab-audit-p2: org-local	30000	15649	0	通用机构词
guchengqiang	古城墙	modern-vocab-audit-p2: frag-np	30000	11485	0	常用旅游词
guigongyu	归功于	modern-vocab-audit-p2: frag-grammar	30000	11882	0	固定搭配常用
guijiuyu	归咎于	modern-vocab-audit-p2: frag-grammar	30000	14163	0	固定搭配常用
guixie	跪谢	modern-vocab-audit-p2: word	30000	16071	0	真词网络常用
guojifaner	国际范儿	modern-vocab-audit-p2: frag-np	30000	0	0	流行口语
guojifating	国际法庭	modern-vocab-audit-p2: frag-np	30000	9087	0	通用机构术语
hailunna	海伦娜	modern-vocab-audit-p2: name-obscure	30000	6343	0	常见音译名
halisen	哈里森	modern-vocab-audit-p2: name-obscure	30000	16511	0	极常用译名
hangdian	航点	modern-vocab-audit-p2: jargon-slice	30000	10031	0	无人机术语
hantangyinliao	含糖饮料	modern-vocab-audit-p2: frag-np	30000	0	0	健康标准术语
hanting	喊停	modern-vocab-audit-p2: frag-verb	30000	17295	0	新闻常用动词
haobangyang	好榜样	modern-vocab-audit-p2: frag-np	30000	20714	0	极常用单位
haogandu	好感度	modern-vocab-audit-p2: frag-np	30000	16310	0	网络常用词
haomo	毫末	modern-vocab-audit-p2: word	30000	6992	0	词典书面词
haoshanhaoshui	好山好水	modern-vocab-audit-p2: frag-np	30000	15519	0	固定表达
haoxiaoxi	好消息	modern-vocab-audit-p2: frag-np	30000	26986	0	高频固定搭配
haoxiong	豪雄	modern-vocab-audit-p2: word	30000	5633	0	英雄义真词
hasang	哈桑	modern-vocab-audit-p2: name-obscure	30000	16749	0	常见译名
hate	哈特	modern-vocab-audit-p2: name-obscure	30000	24594	0	常见音译姓
heerman	赫尔曼	modern-vocab-audit-p2: name-obscure	30000	10012	0	常见译名
heisong	黑松	modern-vocab-audit-p2: word	30000	6691	0	植物名兼品牌
heming	鹤鸣	modern-vocab-audit-p2: title-slice	30000	11821	0	文学词
henbang	很棒	modern-vocab-audit-p2: frag-grammar	30000	29796	0	高频口语单位
henbuxiaxin	狠不下心	modern-vocab-audit-p2: frag-verb	30000	0	0	固定口语
henjiu	很久	modern-vocab-audit-p2: frag-grammar	30000	32112	0	高频准词单位
henli	狠戾	modern-vocab-audit-p2: frag-np	30000	6235	0	词典书面词
hennanshuo	很难说	modern-vocab-audit-p2: frag-grammar	30000	24641	0	固定口语
henzhua	狠抓	modern-vocab-audit-p2: frag-verb	30000	14643	0	常用动词
houbanbu	后半部	modern-vocab-audit-p2: frag-np	30000	15569	0	词典常用词
houhou	厚厚	modern-vocab-audit-p2: frag-grammar	30000	23812	0	常用重叠形
houshan	后山	modern-vocab-audit-p2: frag-np	30000	19232	0	常用方位名词
huangchuan	荒川	modern-vocab-audit-p2: name-obscure	30000	10687	0	著名日姓地名
huanhusheng	欢呼声	modern-vocab-audit-p2: frag-np	30000	17058	0	常用词
huanjingzhi	环颈雉	modern-vocab-audit-p2: word	30000	5433	0	鸟类物种名
huaxuezhe	滑雪者	modern-vocab-audit-p2: frag-np	30000	5577	0	常用派生词
huayingangluo	话音刚落	modern-vocab-audit-p2: frag-grammar	30000	12307	0	叙事固定表达
huodongdu	活动度	modern-vocab-audit-p2: word	30000	2367	0	标准医学词
huzeng	互赠	modern-vocab-audit-p2: frag-grammar	30000	10539	0	常用动词
jianang	颊囊	modern-vocab-audit-p2: word	30000	5163	0	动物学真词
jianchulv	检出率	modern-vocab-audit-p2: word	30000	6407	0	标准统计词
jiang	激昂	modern-vocab-audit-p2: bad-pinyin	50000	19597	1	词典词拼接正确
jiangdaoli	讲道理	modern-vocab-audit-p2: frag-verb	30000	24754	0	常用词
jianghanlu	江汉路	modern-vocab-audit-p2: org-local	30000	16633	0	知名街区
jiangqingchu	讲清楚	modern-vocab-audit-p2: frag-grammar	30000	17358	0	常用动补词
jiangshuzhe	讲述者	modern-vocab-audit-p2: frag-np	30000	4804	0	常用者字词
jiangxinzhou	江心洲	modern-vocab-audit-p2: frag-np	30000	8700	0	地理术语
jianpiaochu	检票处	modern-vocab-audit-p2: frag-np	30000	0	0	场站常用词
jianquanren	健全人	modern-vocab-audit-p2: frag-np	30000	11582	0	领域常用词
jianxiawen	见下文	modern-vocab-audit-p2: frag-grammar	30000	6560	0	固定用语见下文
jianyuci	鉴于此	modern-vocab-audit-p2: frag-grammar	30000	0	0	书面固定语
jiaosui	搅碎	modern-vocab-audit-p2: frag-verb	30000	10848	0	常用动补词
jiaotongwei	交通委	modern-vocab-audit-p2: org-local	30000	5866	0	常用机构简称
jibuqing	记不清	modern-vocab-audit-p2: frag-grammar	30000	24615	0	常用动补词
jiedianhua	接电话	modern-vocab-audit-p2: frag-verb	30000	20997	0	超高频动宾
jiefanglu	解放路	modern-vocab-audit-p2: org-local	30000	20394	0	全国通用路名
jielimi	杰里米	modern-vocab-audit-p2: name-obscure	30000	11022	0	常见音译名
jieshoudu	接受度	modern-vocab-audit-p2: frag-np	30000	13384	0	现代常用词
jieshuipan	接水盘	modern-vocab-audit-p2: frag-np	30000	0	0	家电部件名
jiguoqu	寄过去	modern-vocab-audit-p2: frag-verb	30000	19126	0	常用趋向补
jingjuexing	警觉性	modern-vocab-audit-p2: word	30000	7435	0	常用心理词
jingzhundu	精准度	modern-vocab-audit-p2: frag-np	30000	11745	0	现代常用词
jinkong	金控	modern-vocab-audit-p2: jargon-slice	30000	0	0	金融缩略词
jinxienianlai	近些年来	modern-vocab-audit-p2: frag-grammar	30000	9499	0	常用时间语
jinzhankou	进站口	modern-vocab-audit-p2: frag-np	30000	0	0	车站固定设施词
jiuchengxin	九成新	modern-vocab-audit-p2: frag-num	30000	10350	0	二手交易固定语
jiuduyu	就读于	modern-vocab-audit-p2: frag-grammar	30000	11784	0	固定搭配高频
jixingqi	急性期	modern-vocab-audit-p2: word	30000	3468	0	标准医学词
juandaigan	倦怠感	modern-vocab-audit-p2: word	30000	4131	0	常用X感词
juanmo	卷末	modern-vocab-audit-p2: jargon-slice	30000	7061	0	卷首卷末真词
jubanfang	举办方	modern-vocab-audit-p2: frag-np	30000	8913	0	常用名词
juxianghua	具象化	modern-vocab-audit-p2: frag-np	30000	8916	0	常用词
kaer	卡尔	modern-vocab-audit-p2: name-obscure	30000	27921	0	极常用译名
kaijing	开镜	modern-vocab-audit-p2: jargon-slice	30000	11488	0	影视真词
kaikeng	开坑	modern-vocab-audit-p2: frag-verb	30000	0	0	网络常用语
kaite	凯特	modern-vocab-audit-p2: name-obscure	30000	22142	0	常用译名
kaiwen	凯文	modern-vocab-audit-p2: name-obscure	30000	23620	0	常见译名
kaixueji	开学季	modern-vocab-audit-p2: frag-np	30000	0	0	现代常用词
kalun	卡伦	modern-vocab-audit-p2: name-obscure	30000	17881	0	常见音译名
kaluosi	卡洛斯	modern-vocab-audit-p2: name-obscure	30000	19071	0	常见音译名
kamen	卡门	modern-vocab-audit-p2: name-obscure	30000	18823	0	著名歌剧
kanbeier	坎贝尔	modern-vocab-audit-p2: name-obscure	30000	14485	0	标准音译姓
kanbuchulai	看不出来	modern-vocab-audit-p2: frag-verb	30000	25316	0	口语常用单位
kanbudao	看不到	modern-vocab-audit-p2: frag-verb	30000	34949	0	口语常用单位
kandedong	看得懂	modern-vocab-audit-p2: frag-verb	30000	21062	0	口语常用单位
kandianying	看电影	modern-vocab-audit-p2: frag-verb	30000	0	0	高频动宾
kandiao	砍掉	modern-vocab-audit-p2: frag-verb	30000	17369	0	常用动词
kanglade	康拉德	modern-vocab-audit-p2: name-obscure	30000	10426	0	常见译名
kaolvdao	考虑到	modern-vocab-audit-p2: frag-verb	30000	0	0	词汇化动补
kechuang	科创	modern-vocab-audit-p2: jargon-slice	30000	13473	0	科创板常用缩略
kelala	克拉拉	modern-vocab-audit-p2: name-obscure	30000	16128	0	常见译名
kelamayishi	克拉玛依市	modern-vocab-audit-p1-ge5: admin-suffix	300	3861	0	真实城市名
kentanhui	恳谈会	modern-vocab-audit-p2: jargon-slice	30000	7585	0	正式会议用词
kente	肯特	modern-vocab-audit-p2: name-obscure	30000	17891	0	常用译名
kuadiao	垮掉	modern-vocab-audit-p2: frag-verb	30000	21526	0	常用动词
kuanren	宽仁	modern-vocab-audit-p2: word	30000	6851	0	词典词
kuerte	库尔特	modern-vocab-audit-p2: name-obscure	30000	12972	0	标准音译名
lachu	拉出	modern-vocab-audit-p2: frag-verb	30000	23064	0	常用动补
laerfu	拉尔夫	modern-vocab-audit-p2: name-obscure	30000	15946	0	常见译名
laijing	来京	modern-vocab-audit-p2: frag-verb	30000	17694	0	新闻常用
lanqiumi	篮球迷	modern-vocab-audit-p2: frag-np	30000	11513	0	球迷类真词
lanqiusai	篮球赛	modern-vocab-audit-p2: frag-np	30000	19495	0	常用词
laodongmijixing	劳动密集型	modern-vocab-audit-p1-ge5: lead-flip	30000	10174	0	固定术语
laofangzi	老房子	modern-vocab-audit-p2: frag-np	30000	18313	0	口语常用单位
laoniangongyu	老年公寓	modern-vocab-audit-p2: frag-np	30000	8470	0	固定设施名
laotongzhi	老同志	modern-vocab-audit-p2: frag-np	30000	16815	0	常用称谓词
laoyidai	老一代	modern-vocab-audit-p2: word	30000	13503	0	常用词
larentou	拉人头	modern-vocab-audit-p2: frag-verb	30000	0	0	固定惯用语
lasaier	拉塞尔	modern-vocab-audit-p2: name-obscure	30000	14289	0	常见译名
leimang	勒芒	modern-vocab-audit-p2: geo-real	30000	4193	0	知名赛事地
leimengde	雷蒙德	modern-vocab-audit-p2: name-obscure	30000	17378	0	常见译名
leixinghua	类型化	modern-vocab-audit-p2: frag-np	30000	7422	0	学术常用词
lian	立案	modern-vocab-audit-p2: bad-pinyin	35000	23257	1	真词全拼合
lianchuang	联创	modern-vocab-audit-p2: jargon-slice	30000	7387	0	创投常用缩略
liangge	两个	modern-vocab-audit-p2: frag-num	50000	37861	0	数量常用
liangming	两名	modern-vocab-audit-p2: frag-num	35000	19641	0	数量常用
liangtian	两天	modern-vocab-audit-p2: frag-num	40000	33881	0	数量常用
liangwei	两位	modern-vocab-audit-p2: frag-num	35000	26258	0	数量常用
liangye	良夜	modern-vocab-audit-p2: word	30000	9963	0	词典词
liangzhong	两种	modern-vocab-audit-p2: frag-num	35000	27310	0	数量常用
lianjiechu	连接处	modern-vocab-audit-p2: frag-np	30000	14019	0	常用方位词
lilunshang	理论上	modern-vocab-audit-p2: frag-grammar	30000	0	0	常用固定副词
lingbing	领兵	modern-vocab-audit-p2: frag-verb	30000	12189	0	真词领兵打仗
linianlai	历年来	modern-vocab-audit-p2: frag-grammar	30000	10963	0	固定副词
linyeju	林业局	modern-vocab-audit-p2: org-local	30000	9754	0	标准机构词
lishishuju	历史数据	modern-vocab-audit-p2: frag-np	30000	7477	0	固定常用术语
litigan	立体感	modern-vocab-audit-p2: frag-np	30000	16524	0	常用名词
liunianji	六年级	modern-vocab-audit-p2: frag-num	30000	20105	0	常用年级词
liuqishi	六七十	modern-vocab-audit-p2: frag-num	30000	18783	0	常用概数
liusi	六四	modern-vocab-audit-p2: frag-num	30000	16153	0	固定历史指称
liuyisi	刘易斯	modern-vocab-audit-p2: name-obscure	30000	18777	0	极常用音译名
lixianji	历险记	modern-vocab-audit-p2: frag-np	30000	15181	0	常用词
lizuyu	立足于	modern-vocab-audit-p2: frag-grammar	30000	10848	0	固定动介词
longwangmiao	龙王庙	modern-vocab-audit-p2: org-local	30000	11517	0	通用文化词
louqun	楼群	modern-vocab-audit-p2: frag-np	30000	10099	0	词典词楼群
luancai	乱猜	modern-vocab-audit-p2: frag-verb	30000	15622	0	口语常用
luanjun	乱军	modern-vocab-audit-p2: frag-np	30000	10422	0	固定名词
luanshoufei	乱收费	modern-vocab-audit-p2: frag-verb	30000	13740	0	定型词
ludaofu	鲁道夫	modern-vocab-audit-p2: name-obscure	30000	10099	0	标准音译名
luobinsen	罗宾森	modern-vocab-audit-p2: name-obscure	30000	7251	0	标准音译姓
luoni	罗尼	modern-vocab-audit-p2: name-obscure	30000	19798	0	常见音译名
luoxuansai	落选赛	modern-vocab-audit-p2: frag-np	30000	6907	0	篮球固定赛事词
luyinqi	录音器	modern-vocab-audit-p2: frag-np	30000	6442	0	真实器物词
lvezou	掠走	modern-vocab-audit-p2: frag-verb	30000	11443	0	常用动补词
maibudao	买不到	modern-vocab-audit-p2: frag-verb	30000	25118	0	高频口语单位
maidai	卖呆	modern-vocab-audit-p2: jargon-slice	30000	10968	0	现汉方言词
maikaxi	麦卡锡	modern-vocab-audit-p2: name-obscure	30000	19002	0	标准音译姓
maitoukudu	埋头苦读	modern-vocab-audit-p2: frag-verb	30000	0	0	四字惯用语
makesi	马克斯	modern-vocab-audit-p2: name-obscure	30000	16657	0	常用译名
manjuan	漫卷	modern-vocab-audit-p2: word	30000	9137	0	文学词
meibiyao	没必要	modern-vocab-audit-p2: frag-grammar	30000	0	0	固定口语
meifang	美方	modern-vocab-audit-p2: frag-np	30000	21264	0	外交常用词
meiou	美欧	modern-vocab-audit-p2: frag-np	30000	0	0	新闻常用并称
miaobian	秒变	modern-vocab-audit-p2: frag-verb	30000	18180	0	网络常用动词
mingchun	明春	modern-vocab-audit-p2: frag-np	30000	7251	0	词典词:明年春天
minggenzi	命根子	modern-vocab-audit-p2: word	30000	17047	0	词典惯用语
minran	泯然	modern-vocab-audit-p2: word	30000	0	0	书面真词
minshangshi	民商事	modern-vocab-audit-p2: jargon-slice	30000	2367	0	法律术语
minzuzhuyizhe	民族主义者	modern-vocab-audit-p1-ge5: lead-flip	30000	10361	0	词典词高频
mishuchu	秘书处	modern-vocab-audit-p2: org-local	30000	15760	0	词典机构词
