delete_code	word	freq	why
daika	大咖	22183	大:da->dai del-wrong
daierzi	大儿子	22162	大:da->dai del-wrong
daiwan	大碗	22148	大:da->dai del-wrong
daixiong	大胸	22144	大:da->dai del-wrong
daiwu	大雾	22110	大:da->dai del-wrong
kedai	可大	22102	大:da->dai del-wrong
xiongdai	胸大	22100	大:da->dai del-wrong
daishou	大手	22095	大:da->dai del-wrong
yigejue	一个角	22070	角:jiao->jue del-wrong
jiazhangkuai	家长会	22062	会:hui->kuai del-wrong
daihei	大黑	22046	大:da->dai del-wrong
zhuangei	传给	22028	传:chuan->zhuan del-wrong
zhuanji	传给	22028	传:chuan->zhuan del-wrong
yueba	乐吧	21982	乐:le->yue del-wrong
zhongkuai	终会	21979	会:hui->kuai del-wrong
tingzhengkuai	听证会	21959	会:hui->kuai del-wrong
daiying	大影	21922	大:da->dai del-wrong
daipeng	大棚	21900	大:da->dai del-wrong
qianqianmo	千千万	21897	万:wan->mo del-wrong
mozhe	没辙	21868	没:mei->mo del-wrong
haidai	海大	21839	大:da->dai del-wrong
daiyun	大运	21826	大:da->dai del-wrong
yuecheng	乐橙	21785	乐:le->yue del-wrong
daizhang	大张	21780	大:da->dai del-wrong
daijieju	大结局	21764	大:da->dai del-wrong
ganlong	乾隆	21751	乾:qian->gan del-wrong
tuola	脱落	21746	落:luo->la del-wrong
moji	没记	21691	没:mei->mo del-wrong
pofuchan	剖腹产	21661	剖:pou->po del-wrong
daiping	大屏	21644	大:da->dai del-wrong
daiqi	大旗	21634	大:da->dai del-wrong
dailin	大林	21623	大:da->dai del-wrong
yangdai	养大	21612	大:da->dai del-wrong
daidai	带大	21605	大:da->dai del-wrong
kuaidong	会动	21559	会:hui->kuai del-wrong
motingshuoguo	没听说过	21518	没:mei->mo del-wrong
nongdai	农大	21513	大:da->dai del-wrong
mokuai	万块	21493	万:wan->mo del-wrong
wujue	五角	21488	角:jiao->jue del-wrong
bamo	八万	21487	万:wan->mo del-wrong
base	巴塞	21444	塞:sai->se del-wrong
jijinkuai	基金会	21441	会:hui->kuai del-wrong
meidai	没大	21438	大:da->dai del-wrong
moda	没大	21438	没:mei->mo del-wrong
modai	没大	21438	没:mei->mo del-wrong
huala	花落	21434	落:luo->la del-wrong
beijue	北角	21428	角:jiao->jue del-wrong
youshangjue	右上角	21377	角:jiao->jue del-wrong
daifu	大佛	21368	大:da->dai del-wrong
daifang	大房	21362	大:da->dai del-wrong
mosheng	万圣	21359	万:wan->mo del-wrong
haolemo	好了没	21328	没:mei->mo del-wrong
weihuo	维和	21309	和:he->huo del-wrong
moshengjie	万圣节	21305	万:wan->mo del-wrong
kuaihua	会画	21300	会:hui->kuai del-wrong
jiudai	九大	21287	大:da->dai del-wrong
youxiajue	右下角	21261	角:jiao->jue del-wrong
wangjue	旺角	21190	角:jiao->jue del-wrong
mozhong	没中	21180	没:mei->mo del-wrong
daiguang	大光	21176	大:da->dai del-wrong
poxi	剖析	21137	剖:pou->po del-wrong
daihu	大湖	21131	大:da->dai del-wrong
mosheng	没生	21116	没:mei->mo del-wrong
daicheng	大程	21108	大:da->dai del-wrong
jiayue	家乐	21107	乐:le->yue del-wrong
yima	一抹	21094	抹:mo->ma del-wrong
mojie	没接	21066	没:mei->mo del-wrong
daijian	大件	21061	大:da->dai del-wrong
daijia	大加	21037	大:da->dai del-wrong
daichengdu	大程度	21013	大:da->dai del-wrong
kuaiqian	会前	20993	会:hui->kuai del-wrong
baseluona	巴塞罗那	20984	塞:sai->se del-wrong
butaikuai	不太会	20957	会:hui->kuai del-wrong
liumo	六万	20954	万:wan->mo del-wrong
daifu	大福	20953	大:da->dai del-wrong
juebukuai	决不会	20951	会:hui->kuai del-wrong
moyi	万亿	20949	万:wan->mo del-wrong
bokuai	博会	20940	会:hui->kuai del-wrong
daizha	大闸	20912	大:da->dai del-wrong
chizaokuai	迟早会	20904	会:hui->kuai del-wrong
madiao	抹掉	20891	抹:mo->ma del-wrong
daihang	大行	20886	大:da->dai del-wrong
daixing	大行	20886	大:da->dai del-wrong
huolong	和龙	20867	和:he->huo del-wrong
huokuai	活会	20860	会:hui->kuai del-wrong
moshi	没试	20825	没:mei->mo del-wrong
sejin	塞进	20823	塞:sai->se del-wrong
mogan	没赶	20822	没:mei->mo del-wrong
shengdai	盛大	20780	大:da->dai del-wrong
daicha	大差	20776	大:da->dai del-wrong
daichai	大差	20776	大:da->dai del-wrong
daikeng	大坑	20737	大:da->dai del-wrong
mozi	万字	20735	万:wan->mo del-wrong
daipeng	大鹏	20726	大:da->dai del-wrong
yidai	医大	20723	大:da->dai del-wrong
zhankuai	展会	20710	会:hui->kuai del-wrong
moliangxin	没良心	20695	没:mei->mo del-wrong
guangjue	广角	20679	角:jiao->jue del-wrong
daizhaxie	大闸蟹	20656	大:da->dai del-wrong
daiwu	大武	20636	大:da->dai del-wrong
zuoshangjue	左上角	20610	角:jiao->jue del-wrong
mingdai	明大	20607	大:da->dai del-wrong
sidailin	斯大林	20601	大:da->dai del-wrong
kuaidian	会点	20555	会:hui->kuai del-wrong
mosi	没死	20550	没:mei->mo del-wrong
moyao	没要	20545	没:mei->mo del-wrong
daizhi	大只	20544	大:da->dai del-wrong
shengkuai	盛会	20531	会:hui->kuai del-wrong
daisheng	大生	20523	大:da->dai del-wrong
dainan	大南	20490	大:da->dai del-wrong
bianshuai	辨率	20467	率:lv->shuai del-wrong
daier	大儿	20466	大:da->dai del-wrong
kuaidan	会弹	20458	会:hui->kuai del-wrong
kuaitan	会弹	20458	会:hui->kuai del-wrong
kuaijiao	会教	20450	会:hui->kuai del-wrong
qianchengshijin	前程似锦	20436	似:shi->si REVERSED del-prim
juweikuai	居委会	20433	会:hui->kuai del-wrong
shengrikuai	生日会	20397	会:hui->kuai del-wrong
mojing	没经	20376	没:mei->mo del-wrong
motong	没通	20370	没:mei->mo del-wrong
jizhekuai	记者会	20364	会:hui->kuai del-wrong
minhuo	民和	20344	和:he->huo del-wrong
daiwei	大威	20335	大:da->dai del-wrong
yatelandai	亚特兰大	20330	大:da->dai del-wrong
daidong	大动	20301	大:da->dai del-wrong
mofan	没饭	20289	没:mei->mo del-wrong
daifu	大富	20273	大:da->dai del-wrong
fuhuo	福和	20270	和:he->huo del-wrong
wujuexing	五角星	20258	角:jiao->jue del-wrong
daimei	大妹	20255	大:da->dai del-wrong
landai	兰大	20251	大:da->dai del-wrong
daipaidang	大排档	20226	大:da->dai del-wrong
yimoduo	一万多	20224	万:wan->mo del-wrong
butongxinchang	不同寻常	20213	寻:xun->xin del-wrong
shuangbei	双臂	20197	臂:bi->bei del-wrong
xiaokuai	小会	20192	会:hui->kuai del-wrong
bushi	不似	20189	似:shi->si REVERSED del-prim
mozhong	万种	20188	万:wan->mo del-wrong
layu	落雨	20184	落:luo->la del-wrong
daibie	大别	20175	大:da->dai del-wrong
ermo	二万	20173	万:wan->mo del-wrong
daisheng	大胜	20156	大:da->dai del-wrong
zhuankai	传开	20151	传:chuan->zhuan del-wrong
daishi	大食	20147	大:da->dai del-wrong
moqianmai	没钱买	20129	没:mei->mo del-wrong
shijin	似锦	20117	似:shi->si REVERSED del-prim
daie	大额	20104	大:da->dai del-wrong
seerweiya	塞尔维亚	20100	塞:sai->se del-wrong
shuodai	硕大	20094	大:da->dai del-wrong
moxiao	没消	20085	没:mei->mo del-wrong
daixia	大夏	20057	大:da->dai del-wrong
chuandai	川大	20054	大:da->dai del-wrong
tianyue	天乐	20045	乐:le->yue del-wrong
tanxin	探寻	20030	寻:xun->xin del-wrong
ziyuziyue	自娱自乐	20026	乐:le->yue del-wrong
daidang	大党	20001	大:da->dai del-wrong
xihuo	西和	19997	和:he->huo del-wrong
moci	万次	19984	万:wan->mo del-wrong
zhihai	止咳	19962	咳:ke->hai del-wrong
xindai	新大	19937	大:da->dai del-wrong
zuoxiajue	左下角	19926	角:jiao->jue del-wrong
daitusha	大屠杀	19923	大:da->dai del-wrong
mohuashuo	没话说	19917	没:mei->mo del-wrong
monaozi	没脑子	19912	没:mei->mo del-wrong
haodianmo	好点没	19910	没:mei->mo del-wrong
daidong	大洞	19905	大:da->dai del-wrong
shuaidi	率低	19897	率:lv->shuai del-wrong
mohua	没画	19863	没:mei->mo del-wrong
daiping	大平	19833	大:da->dai del-wrong
daishang	大商	19820	大:da->dai del-wrong
zenkuai	怎会	19818	会:hui->kuai del-wrong
gengpian	更便	19799	便:bian->pian del-wrong
qikuai	期会	19769	会:hui->kuai del-wrong
daiqiao	大乔	19757	大:da->dai del-wrong
shadai	厦大	19732	大:da->dai del-wrong
anhuo	安和	19731	和:he->huo del-wrong
yueping	乐平	19725	乐:le->yue del-wrong
zhedai	浙大	19711	大:da->dai del-wrong
shishui	似水	19695	似:shi->si REVERSED del-prim
daishang	大伤	19690	大:da->dai del-wrong
daidie	大跌	19666	大:da->dai del-wrong
daiwang	大网	19634	大:da->dai del-wrong
jinhuo	金和	19628	和:he->huo del-wrong
daihuilang	大灰狼	19624	大:da->dai del-wrong
yimoge	一万个	19617	万:wan->mo del-wrong
lianhekuai	联合会	19611	会:hui->kuai del-wrong
daideng	大灯	19600	大:da->dai del-wrong
kuaiguan	会管	19588	会:hui->kuai del-wrong
yongshuai	用率	19583	率:lv->shuai del-wrong
huodai	火大	19563	大:da->dai del-wrong
daixian	待见	19555	见:jian->xian del-wrong
zhoudai	洲大	19547	大:da->dai del-wrong
lajing	落井	19537	落:luo->la del-wrong
dailuan	大乱	19526	大:da->dai del-wrong
danghuoguojia	党和国家	19505	和:he->huo del-wrong
zhongkuai	中会	19468	会:hui->kuai del-wrong
daixiong	大雄	19460	大:da->dai del-wrong
jidai	几大	19456	大:da->dai del-wrong
cudai	粗大	19453	大:da->dai del-wrong
mofen	没分	19450	没:mei->mo del-wrong
lishikuai	理事会	19449	会:hui->kuai del-wrong
daipingmu	大屏幕	19444	大:da->dai del-wrong
yuemei	乐美	19428	乐:le->yue del-wrong
daibuda	大不大	19426	大:da->dai del-wrong
tongdai	同大	19415	大:da->dai del-wrong
zhiyue	之乐	19404	乐:le->yue del-wrong
bankuai	班会	19381	会:hui->kuai del-wrong
pianxie	便携	19360	便:bian->pian del-wrong
yongyue	永乐	19359	乐:le->yue del-wrong
tiantianxian	天天见	19353	见:jian->xian del-wrong
huotian	和田	19347	和:he->huo del-wrong
daimeng	大梦	19345	大:da->dai del-wrong
yantaokuai	研讨会	19343	会:hui->kuai del-wrong
daiyong	大用	19341	大:da->dai del-wrong
zhuanxia	传下	19322	传:chuan->zhuan del-wrong
mojiao	没交	19320	没:mei->mo del-wrong
hedai	河大	19319	大:da->dai del-wrong
daidai	大袋	19308	大:da->dai del-wrong
daitu	大土	19275	大:da->dai del-wrong
seya	塞牙	19268	塞:sai->se del-wrong
suipianshuoshuo	随便说说	19265	便:bian->pian del-wrong
yuegu	乐谷	19243	乐:le->yue del-wrong
daiwei	大伟	19233	大:da->dai del-wrong
daibuliedian	大不列颠	19232	大:da->dai del-wrong
moying	没影	19227	没:mei->mo del-wrong
dairetian	大热天	19226	大:da->dai del-wrong
mohua	没花	19222	没:mei->mo del-wrong
yixian	易见	19214	见:jian->xian del-wrong
daiti	大题	19211	大:da->dai del-wrong
mosheng	没声	19202	没:mei->mo del-wrong
daile	大乐	19164	大:da->dai del-wrong
daiyue	大乐	19164	大:da->dai del-wrong
dayue	大乐	19164	乐:le->yue del-wrong
bakuo	巴适	19161	适:shi->kuo del-wrong
moxing	没醒	19161	没:mei->mo del-wrong
shuaibi	率比	19158	率:lv->shuai del-wrong
piandai	偏大	19150	大:da->dai del-wrong
taidai	台大	19150	大:da->dai del-wrong
motou	没头	19147	没:mei->mo del-wrong
mobenshi	没本事	19145	没:mei->mo del-wrong
daiduan	大段	19102	大:da->dai del-wrong
daijuan	大圈	19094	大:da->dai del-wrong
daiquan	大圈	19094	大:da->dai del-wrong
kuaiyue	会约	19086	会:hui->kuai del-wrong
daifang	大放	19074	大:da->dai del-wrong
mobaqian	万八千	19072	万:wan->mo del-wrong
jikuai	级会	19066	会:hui->kuai del-wrong
modaoli	没道理	19065	没:mei->mo del-wrong
mobing	没病	19062	没:mei->mo del-wrong
qimo	七万	18967	万:wan->mo del-wrong
moliyou	没理由	18963	没:mei->mo del-wrong
gushikuai	故事会	18954	会:hui->kuai del-wrong
xianren	见仁	18947	见:jian->xian del-wrong
ladai	拉大	18945	大:da->dai del-wrong
daiyue	大悦	18937	大:da->dai del-wrong
daizheng	大正	18933	大:da->dai del-wrong
daizuiba	大嘴巴	18931	大:da->dai del-wrong
sela	塞拉	18925	塞:sai->se del-wrong
kuaika	会卡	18914	会:hui->kuai del-wrong
daimao	大猫	18910	大:da->dai del-wrong
yonghuo	永和	18906	和:he->huo del-wrong
nanhuo	南和	18900	和:he->huo del-wrong
mozhi	没治	18884	没:mei->mo del-wrong
tonghuo	统和	18884	和:he->huo del-wrong
daijing	大经	18850	大:da->dai del-wrong
yekuai	夜会	18847	会:hui->kuai del-wrong
youzhela	有着落	18839	落:luo->la del-wrong
moqing	没请	18833	没:mei->mo del-wrong
shengshuai	胜率	18832	率:lv->shuai del-wrong
nanmiankuai	难免会	18831	会:hui->kuai del-wrong
yizhuan	一传	18821	传:chuan->zhuan del-wrong
moyang	没养	18820	没:mei->mo del-wrong
yangyueduo	养乐多	18798	乐:le->yue del-wrong
modun	万吨	18778	万:wan->mo del-wrong
daiqian	大千	18759	大:da->dai del-wrong
moxiao	没笑	18757	没:mei->mo del-wrong
daizhen	大真	18756	大:da->dai del-wrong
kuaide	会地	18750	会:hui->kuai del-wrong
kuaidi	会地	18750	会:hui->kuai del-wrong
yishibankuai	一时半会	18736	会:hui->kuai del-wrong
wangxian	望见	18735	见:jian->xian del-wrong
daichang	大厂	18729	大:da->dai del-wrong
xianguomian	见过面	18710	见:jian->xian del-wrong
nongjiayue	农家乐	18702	乐:le->yue del-wrong
daituan	大团	18686	大:da->dai del-wrong
daibang	大棒	18683	大:da->dai del-wrong
shukuai	书会	18679	会:hui->kuai del-wrong
mobei	万倍	18670	万:wan->mo del-wrong
kuaipai	会派	18669	会:hui->kuai del-wrong
daidao	大盗	18661	大:da->dai del-wrong
daiyuan	大原	18658	大:da->dai del-wrong
shumo	数万	18646	万:wan->mo del-wrong
dailielie	大咧咧	18640	大:da->dai del-wrong
mogongli	万公里	18633	万:wan->mo del-wrong
daixing	大星	18631	大:da->dai del-wrong
daiye	大野	18630	大:da->dai del-wrong
zhuankuai	转会	18626	会:hui->kuai del-wrong
daixie	大些	18607	大:da->dai del-wrong
buyikuai	不一会	18572	会:hui->kuai del-wrong
dujue	度角	18565	角:jiao->jue del-wrong
mozuoyou	万左右	18564	万:wan->mo del-wrong
daiping	大瓶	18557	大:da->dai del-wrong
daifangzi	大房子	18554	大:da->dai del-wrong
moqi	没气	18551	没:mei->mo del-wrong
daiqiu	大球	18550	大:da->dai del-wrong
houyuankuai	后援会	18533	会:hui->kuai del-wrong
kuopei	适配	18520	适:shi->kuo del-wrong
