# code	word	v1_freq	reason
tiandaleipi	天打雷劈	14487	成语
yichengxiangdai	以诚相待	14470	成语
xueyuxingfeng	血雨腥风	14466	成语
yanxingjuzhi	言行举止	14451	固定熟语
buyiweichi	不以为耻	14443	成语
bugouyanxiao	不苟言笑	14441	成语
langlangqiankun	朗朗乾坤	14434	成语
tuwenbingmao	图文并茂	14416	成语
mingmabiaojia	明码标价	14412	固定熟语
gongzhuyuzhong	公诸于众	14408	成语
zhongyutaishan	重于泰山	14391	成语
labangjiepai	拉帮结派	14389	成语
youxianzizai	悠闲自在	14388	固定熟语
mingfuqishi	名符其实	14373	成语
xumouyijiu	蓄谋已久	14358	成语
cuirenleixia	催人泪下	14348	成语
youyouyuyu	犹犹豫豫	14332	叠字熟语
qiuzhenwushi	求真务实	14322	固定熟语
qiqifufu	起起伏伏	14313	叠字熟语
renaofeifan	热闹非凡	14313	成语
pingpingguanguan	瓶瓶罐罐	14303	叠字熟语
ruqierzhi	如期而至	14284	成语
huntianandi	昏天暗地	14282	成语
dandaxinxi	胆大心细	14278	成语
meitoumeinao	没头没脑	14265	成语
bolanqunshu	博览群书	14245	成语
yidefuren	以德服人	14229	成语
fenfenmiaomiao	分分秒秒	14210	叠字熟语
yituozaituo	一拖再拖	14208	成语
renqinglengnuan	人情冷暖	14198	成语
tanbaicongkuan	坦白从宽	14195	固定熟语
zaiciyiju	在此一举	14187	成语
gaiminghuanxing	改名换姓	14179	成语
zhencaishiliao	真材实料	14179	固定熟语
fengyanfengyu	风言风语	14165	成语
yuanqidashang	元气大伤	14161	固定熟语
picaorouhou	皮糙肉厚	14151	固定熟语
yizhenyixian	一针一线	14151	成语
wuyuhengliu	物欲横流	14136	成语
xinshubuzheng	心术不正	14118	成语
danpomingli	淡泊名利	14114	成语
cuoshiliangji	错失良机	14106	成语
hunqianmengrao	魂牵梦绕	14097	成语
hanhuqici	含糊其辞	14087	成语
gubuzifeng	固步自封	14050	成语
sihaiyijia	四海一家	14032	固定熟语
youlaiyijiu	由来已久	14008	成语
zhibubuqian	止步不前	14003	成语
chanchanmianmian	缠缠绵绵	13989	AABB熟语
yuanyuanxiangbao	冤冤相报	13965	成语
yimianzhiyuan	一面之缘	13957	成语
youranzide	悠然自得	13952	成语
huangliangyimeng	黄粱一梦	13912	成语
sanliujiudeng	三六九等	13911	成语
dayuqingpen	大雨倾盆	13897	成语
renrenziwei	人人自危	13896	成语
wangubuhua	顽固不化	13886	成语
bujiaobuzao	不骄不躁	13871	成语
jinxiaoshenwei	谨小慎微	13856	成语
shenqiangtizhuang	身强体壮	13846	成语
xiangqushenyuan	相去甚远	13831	成语
wanzhongzhumu	万众瞩目	13827	成语
jianzaixianshang	箭在弦上	13825	成语
shangchunbeiqiu	伤春悲秋	13816	成语
renjinjiezhi	人尽皆知	13803	成语
dashidafei	大是大非	13794	成语
jianxinbuyi	坚信不疑	13791	成语
zhenmingtianzi	真命天子	13791	成语
lengjiaofenming	棱角分明	13784	成语
qianhuwanhuan	千呼万唤	13763	成语
sishuiliunian	似水流年	13763	成语
jiaoxianghuiying	交相辉映	13732	成语
chunhongchibai	唇红齿白	13711	成语
guangmangsishe	光芒四射	13700	成语
bujiezhiyuan	不解之缘	13694	成语
gugudandan	孤孤单单	13685	AABB熟语
shangcuanxiatiao	上蹿下跳	13685	成语
mingyunduochuan	命运多舛	13682	成语
kekeqiqi	客客气气	13673	AABB熟语
mengmenglonglong	朦朦胧胧	13634	AABB熟语
aidabuli	爱答不理	13630	成语
wenrenmoke	文人墨客	13613	成语
youmuyouyang	有模有样	13603	成语
shouzhiyoukui	受之有愧	13594	成语
renwaiyouren	人外有人	13581	成语
shouxiaoshenwei	收效甚微	13570	成语
ersunmantang	儿孙满堂	13568	成语
shimianmaifu	十面埋伏	13565	典故成语
qianfusuozhi	千夫所指	13562	成语
sishuwujing	四书五经	13560	固定熟语
qishipangbo	气势磅礴	13547	成语
yaowuyinxun	杳无音讯	13543	成语
dalangtaosha	大浪淘沙	13537	成语
huojihuoliao	火急火燎	13531	成语
tumoubugui	图谋不轨	13529	成语
wenrutaishan	稳如泰山	13528	成语
guancharuwei	观察入微	13489	成语
nvzhonghaojie	女中豪杰	13489	成语
eyuxiangxiang	恶语相向	13456	成语
xingxingdiandian	星星点点	13442	叠字熟语
qiongzhuimengda	穷追猛打	13427	成语
xiaorongmanmian	笑容满面	13421	固定熟语
shuoshuoxiaoxiao	说说笑笑	13414	叠字熟语
xinxiangwangzhi	心向往之	13407	成语
linglingsuisui	零零碎碎	13406	叠字熟语
kankankeke	坎坎坷坷	13404	叠字熟语
cheyenanmian	彻夜难眠	13400	固定熟语
qunmoluanwu	群魔乱舞	13400	成语
tangtangshuishui	汤汤水水	13400	叠字熟语
bieyoufengwei	别有风味	13382	固定熟语
weiguoweimin	为国为民	13378	成语
bujianzongying	不见踪影	13370	成语
dongdangbuan	动荡不安	13365	成语
bufazhitu	不法之徒	13363	成语
youwenbida	有问必答	13360	固定熟语
bucixinlao	不辞辛劳	13348	成语
xincunjiaoxing	心存侥幸	13340	成语
wenwendangdang	稳稳当当	13322	叠字熟语
tengyunjiawu	腾云驾雾	13319	成语
guzhennanmian	孤枕难眠	13308	固定熟语
zichanzixiao	自产自销	13294	固定熟语
bainiaochaofeng	百鸟朝凤	13293	成语
piaoyangguohai	飘洋过海	13292	成语
jiannankunku	艰难困苦	13290	成语
shuzhuangdaban	梳妆打扮	13278	固定熟语
dongrutuotu	动如脱兔	13271	成语
wanwanbuke	万万不可	13270	固定熟语
huiyanshizhu	慧眼识珠	13267	成语
shiyizhici	事已至此	13267	固定熟语
saodichumen	扫地出门	13259	成语
yuanzoutaxiang	远走他乡	13253	成语
zhongshennanwang	终身难忘	13250	固定熟语
chongrubujing	宠辱不惊	13245	成语
shenhuaijueji	身怀绝技	13245	固定熟语
bujinzetui	不进则退	13231	成语
qiatouquwei	掐头去尾	13216	成语
rumengchuxing	如梦初醒	13211	成语
hongguangmanmian	红光满面	13205	固定熟语
jiaxizhenzuo	假戏真做	13205	成语
wuxiaguji	无暇顾及	13205	固定熟语
nengwennengwu	能文能武	13184	成语
wanshiwanwu	万事万物	13183	固定熟语
bizhengzhidi	必争之地	13182	成语
dashiyiqu	大势已去	13182	成语
baojiaobaohui	包教包会	13180	固定熟语
zhientubao	知恩图报	13169	成语
siyiwangwei	肆意妄为	13163	成语
cheyeweimian	彻夜未眠	13161	固定熟语
fanranxingwu	幡然醒悟	13159	成语
gegejipo	各个击破	13156	成语
xinjingrushui	心静如水	13118	固定熟语
yichengdingju	已成定局	13116	固定熟语
qianxiandaqiao	牵线搭桥	13109	成语
huangjiaoyewai	荒郊野外	13106	固定熟语
yifeichongtian	一飞冲天	13090	成语
zaijienantao	在劫难逃	13088	成语
lingrenzuoou	令人作呕	13069	成语
zhizaibide	志在必得	13067	成语
langlangshangkou	琅琅上口	13063	成语
reshishengfei	惹事生非	13062	成语
zhendingziruo	镇定自若	13062	成语
mimimangmang	迷迷茫茫	13045	叠字熟语
yangtianchangxiao	仰天长啸	13039	成语
shengfanshengcai	剩饭剩菜	13033	固定熟语
haowuguji	毫无顾忌	13030	固定熟语
bujihouguo	不计后果	13028	固定熟语
guwurenxin	鼓舞人心	13013	成语
xianxuexianmai	现学现卖	13010	固定熟语
xueshiyuanbo	学识渊博	13002	固定熟语
ruiyijinqu	锐意进取	13001	成语
kebanchushen	科班出身	12980	成语
youkunanyan	有苦难言	12967	成语
renshengongfen	人神共愤	12952	成语
tianwaiyoutian	天外有天	12941	成语
zoujiechuanxiang	走街串巷	12934	成语
jiehuaxianfo	借花献佛	12932	成语
xiongyongpengpai	汹涌澎湃	12928	成语
yibiyihua	一笔一画	12924	成语
badaoxiangzhu	拔刀相助	12879	成语
zimaizikua	自卖自夸	12866	成语
shunliuerxia	顺流而下	12852	成语
fanlaizhangkou	饭来张口	12844	成语
xuerouzhiqu	血肉之躯	12829	成语
hejiatuanyuan	阖家团圆	12826	固定熟语
jiaoaoziman	骄傲自满	12822	成语
jianxiansiqi	见贤思齐	12815	成语
jiuniuerhu	九牛二虎	12807	成语
gonggongjingjing	恭恭敬敬	12806	AABB熟语
wuweierzhi	无为而治	12786	成语
yelangzida	夜郎自大	12776	成语
shentifafu	身体发肤	12768	成语
zhizaiqianli	志在千里	12768	成语
kuiranbudong	岿然不动	12767	成语
yechangmengduo	夜长梦多	12752	成语
jingzhongchangming	警钟长鸣	12748	成语
qingzhenglianjie	清正廉洁	12735	固定熟语
xionghuaidazhi	胸怀大志	12734	成语
huishimieji	毁尸灭迹	12730	成语
qieqieshishi	切切实实	12726	AABB熟语
xizirujin	惜字如金	12724	成语
zhiquxiangtou	志趣相投	12724	成语
touhunnaozhang	头昏脑涨	12714	成语
yantanjuzhi	言谈举止	12714	成语
xiaodiaodaiya	笑掉大牙	12713	成语
ruanruowuli	软弱无力	12689	成语
fengfengguangguang	风风光光	12677	AABB熟语
xinfuqizao	心浮气躁	12677	成语
beicongzhonglai	悲从中来	12673	成语
kejinzhishou	恪尽职守	12673	成语
bushangbuxia	不上不下	12657	成语
xinwuzanian	心无杂念	12657	成语
yibiaorencai	一表人才	12646	成语
shiqianglingruo	恃强凌弱	12622	成语
lianmianbuduan	连绵不断	12613	成语
feiliwushi	非礼勿视	12612	成语
renmiantaohua	人面桃花	12612	成语
anduchencang	暗度陈仓	12597	成语
binglaijiangdang	兵来将挡	12591	成语
xingshanjide	行善积德	12577	成语
dongduoxicang	东躲西藏	12570	成语
kaikoubikou	开口闭口	12553	成语
wanwanzhengzheng	完完整整	12553	AABB熟语
dujuhuiyan	独具慧眼	12548	成语
mianmuzhengning	面目狰狞	12526	成语
tiangaoyundan	天高云淡	12520	成语
tianzhudimie	天诛地灭	12507	成语
linweibuju	临危不惧	12496	成语
lunzipaibei	论资排辈	12468	成语
juzhongruoqing	举重若轻	12462	成语
chushengniudu	初生牛犊	12443	成语
yilifuren	以理服人	12434	成语
shunshundangdang	顺顺当当	12423	叠字熟语
nannvyoubie	男女有别	12419	成语
qinglimenhu	清理门户	12405	成语
bukanruer	不堪入耳	12392	成语
fushouchenchen	俯首称臣	12384	成语
handonglayue	寒冬腊月	12366	成语
shengbanyingtao	生搬硬套	12363	成语
daendade	大恩大德	12330	成语
xiebuyazheng	邪不压正	12330	成语
xuefaweini	削发为尼	12301	成语
wangpomaigua	王婆卖瓜	12284	成语
kuhaiwubian	苦海无边	12272	成语
qianxujinshen	谦虚谨慎	12257	成语
yiyangduncuo	抑扬顿挫	12252	成语
yaotiaoshunv	窈窕淑女	12248	成语
piaopiaoyuxian	飘飘欲仙	12218	成语
dazuowenzhang	大做文章	12204	成语
bushezhouye	不舍昼夜	12194	成语
xiangchawuji	相差无几	12174	成语
lvfeihongshou	绿肥红瘦	12147	成语
yituiweijin	以退为进	12145	成语
dazhanhongtu	大展宏图	12142	成语
dashafengjing	大煞风景	12141	成语
yangyangdaguo	泱泱大国	12141	成语
zhicungaoyuan	志存高远	12133	成语
jiacaiwanguan	家财万贯	12118	成语
wuyuzegang	无欲则刚	12112	固定熟语
yijiduoren	以己度人	12111	成语
shourenyiyu	授人以渔	12105	固定熟语
qujingtongyou	曲径通幽	12100	成语
wusuobuyou	无所不有	12095	成语
chengwangchengba	称王称霸	12087	成语
buhuozhinian	不惑之年	12077	成语
yinrongxiaomao	音容笑貌	12077	成语
jianzuihousai	尖嘴猴腮	12075	成语
qianqianjunzi	谦谦君子	12067	成语
jinghongyipie	惊鸿一瞥	12056	固定熟语
wanbiguizhao	完璧归赵	12056	成语
jiujingshachang	久经沙场	12042	固定熟语
hejiubifen	合久必分	12023	固定熟语
yitongtianxia	一统天下	11998	成语
xiaojidaigong	消极怠工	11991	固定熟语
shuilaituyan	水来土掩	11987	固定熟语
daxidabei	大喜大悲	11986	成语
tianlangqiqing	天朗气清	11984	成语
xiantingxinbu	闲庭信步	11981	成语
hanxiaojiuquan	含笑九泉	11978	成语
quzhibujin	取之不尽	11977	成语
cuotuosuiyue	蹉跎岁月	11976	成语
dongzhiyiqing	动之以情	11976	固定熟语
fenjiubihe	分久必合	11963	固定熟语
zhenzhenshishi	真真实实	11963	叠字熟语
fenfayouwei	奋发有为	11950	成语
chuandaoshouye	传道授业	11943	固定熟语
luoguxuantian	锣鼓喧天	11936	成语
yixiaojianda	以小见大	11929	成语
yangtianchangtan	仰天长叹	11921	成语
caisiminjie	才思敏捷	11908	成语
taozhiyaoyao	桃之夭夭	11908	成语
wanzhangshenyuan	万丈深渊	11908	成语
renxiaoguida	人小鬼大	11903	俗语
wumianzhiwang	无冕之王	11903	固定熟语
buluhenji	不露痕迹	11902	成语
haofawusun	毫发无损	11900	成语
shuqingshuzhong	孰轻孰重	11899	成语
yixieqianli	一泻千里	11899	成语
dongrenxinxian	动人心弦	11890	标准成语,全拼正确
zaohuanongren	造化弄人	11888	固定四字熟语,整体不可拆
simananzhui	驷马难追	11880	标准成语,全拼正确
suiyuecuotuo	岁月蹉跎	11880	固定四字熟语(蹉跎岁月倒序常用体)
feishazoushi	飞沙走石	11860	标准成语,全拼正确
wukebini	无可比拟	11858	标准成语,全拼正确
zuoeduoduan	作恶多端	11820	标准成语,全拼正确
daqipangbo	大气磅礴	11811	标准成语,全拼正确
