# article 0005 — 丁薛祥 山西调研 (linear typing plan)
# idx \t word \t pinyin \t reason

# SKIP-PERSON 0001	丁薛祥	dingxuexiang	linear
0071	平安	pingan	linear
0072	高考	gaokao	linear
0073	目标	mubiao	linear
0074	考试	kaoshi	linear
0075	招生	zhaosheng	linear
0076	制度	zhidu	linear
0077	改革	gaige	linear
0078	和	he	linear
0079	高考	gaokao	linear
0080	组织	zuzhi	linear
0081	实施	shishi	linear
0082	都	dou	linear
0083	要	yao	linear
0084	始终	shizhong	linear
0085	牢记	laoji	linear
0086	为	wei	linear
0087	党	dang	linear
0088	育人	yuren	linear
0089	为	wei	linear
0090	国	guo	linear
0091	选才	xuancai	linear
0092	守	shou	linear
0093	好	hao	linear
0094	公平	gongping	linear
0095	公正	gongzheng	linear
0096	生命线	shengmingxian	linear
0097	山西	shanxi	linear
0098	是	shi	linear
0099	第	di	linear
0100	五	wu	linear
0101	批	pi	linear
0102	高考	gaokao	linear
0103	综合	zonghe	linear
0104	改革	gaige	linear
0105	落地	luodi	linear
0106	省份	shengfen	linear
0107	要	yao	linear
0108	精心	jingxin	linear
0109	做好	zuohao	linear
0110	考务	kaowu	linear
0111	服务	fuwu	linear
0112	和	he	linear
0113	综合	zonghe	linear
0114	保障	baozhang	linear
0115	工作	gongzuo	linear
0116	强化	qianghua	linear
0117	心理	xinli	linear
0118	疏导	shudao	linear
0119	和	he	linear
0120	人文	renwen	linear
0121	关怀	guanhuai	linear
0122	为	wei	linear
0123	莘莘学子	shenshenxuezi	linear
0124	营造	yingzao	linear
0125	良好	lianghao	linear
0126	考试	kaoshi	linear
0127	环境	huanjing	linear
0128	采取	caiqu	linear
0129	最	zui	linear
0130	严	yan	linear
0131	措施	cuoshi	linear
0132	加强	jiaqiang	linear
0133	试卷	shijuan	linear
0134	印制	yinzhi	linear
0135	运送	yunsong	linear
0136	保管	baoguan	linear
0137	等	deng	linear
0138	全	quan	linear
0139	流程	liucheng	linear
0140	监管	jianguan	linear
0141	严厉	yanli	linear
0142	打击	daji	linear
0143	考试	kaoshi	linear
0144	舞弊	wubi	linear
0145	行为	xingwei	linear
0146	严肃	yansu	linear
0147	招生	zhaosheng	linear
0148	录取	luqu	linear
0149	纪律	jilv	linear
0150	全力	quanli	linear
0151	保证	baozheng	linear
0152	高考	gaokao	linear
0153	安全	anquan	linear
0154	平稳	pingwen	linear
0155	顺利	shunli	linear
# SKIP-PERSON 0156	丁薛祥	dingxuexiang	linear
0157	来到	laidao	linear
0158	山西	shanxi	linear
0159	应用	yingyong	linear
0160	科技	keji	linear
0161	学院	xueyuan	linear
0162	调研	diaoyan	linear
0163	民办	minban	linear
0164	高校	gaoxiao	linear
0165	发展	fazhan	linear
0166	情况	qingkuang	linear
0167	他	ta	linear
0168	表示	biaoshi	linear
0169	不管	buguan	linear
0170	是	shi	linear
0171	公办	gongban	linear
0172	大学	daxue	linear
0173	还是	haishi	linear
0174	民办	minban	linear
0175	大学	daxue	linear
0176	都	dou	linear
0177	是	shi	linear
0178	党	dang	linear
0179	办	ban	linear
0180	的	de	linear
0181	大学	daxue	linear
0182	要	yao	linear
0183	把	ba	linear
0184	党	dang	linear
0185	的	de	linear
0186	领导	lingdao	linear
0187	全面	quanmian	linear
0188	融入	rongru	linear
0189	学校	xuexiao	linear
0190	治理	zhili	linear
0191	体系	tixi	linear
0192	强化	qianghua	linear
0193	思想	sixiang	linear
0194	政治	zhengzhi	linear
0195	引领	yinling	linear
0196	统一	tongyi	linear
0197	思政课	sizhengke	linear
0198	要求	yaoqiu	linear
0199	和	he	linear
0200	标准	biaozhun	linear
0201	把	ba	linear
0202	立德树人	lideshuren	linear
0203	根本	genben	linear
0204	任务	renwu	linear
0205	落到	luodao	linear
0206	实处	shichu	linear
0207	适应	shiying	linear
0208	产业	chanye	linear
0209	升级	shengji	linear
0210	新	xin	linear
0211	形势	xingshi	linear
0212	在	zai	linear
0213	培养	peiyang	linear
0214	高	gao	linear
0215	技能	jineng	linear
0216	人才	rencai	linear
0217	的	de	linear
0218	同时	tongshi	linear
0219	注重	zhuzhong	linear
0220	培养	peiyang	linear
0221	经济	jingji	linear
0222	社会	shehui	linear
0223	发展	fazhan	linear
0224	需要	xuyao	linear
0225	的	de	linear
0226	各类	gelei	linear
0227	人才	rencai	linear
0228	加强	jiaqiang	linear
0229	就业	jiuye	linear
0230	指导	zhidao	linear
0231	服务	fuwu	linear
0232	落实	luoshi	linear
0233	好	hao	linear
0234	加大	jiada	linear
0235	就业	jiuye	linear
0236	帮扶	bangfu	linear
0237	的	de	linear
0238	政策	zhengce	linear
0239	举措	jucuo	linear
0240	促进	cujin	linear
0241	高校	gaoxiao	linear
0242	毕业生	biyesheng	linear
0243	高质量	gaozhiliang	linear
0244	充分	chongfen	linear
0245	就业	jiuye	linear
# SKIP-PERSON 0246	丁薛祥	dingxuexiang	linear
0247	走进	zoujin	linear
0248	国家	guojia	linear
0249	电网	dianwang	linear
0250	山西省	shanxisheng	linear
0251	电力	dianli	linear
0252	公司	gongsi	linear
0253	调研	diaoyan	linear
0254	能源	nengyuan	linear
0255	革命	geming	linear
0256	综合	zonghe	linear
0257	改革	gaige	linear
0258	试点	shidian	linear
0259	等	deng	linear
0260	情况	qingkuang	linear
0261	他	ta	linear
0262	指出	zhichu	linear
0263	山西	shanxi	linear
0264	是	shi	linear
0265	能源	nengyuan	linear
0266	大省	dasheng	linear
0267	要	yao	linear
0268	带头	daitou	linear
0269	推进	tuijin	linear
0270	煤炭	meitan	linear
0271	清洁	qingjie	linear
0272	高效	gaoxiao	linear
0273	利用	liyong	linear
0274	完善	wanshan	linear
0275	新能源	xinnengyuan	linear
0276	消纳	xiaona	linear
0277	和	he	linear
0278	调控	tiaokong	linear
0279	政策	zhengce	linear
0280	举措	jucuo	linear
0281	加快	jiakuai	linear
0282	建设	jianshe	linear
0283	新型	xinxing	linear
0284	能源	nengyuan	linear
0285	体系	tixi	linear
0286	积极	jiji	linear
0287	推进	tuijin	linear
0288	全国	quanguo	linear
0289	统一	tongyi	linear
0290	电力	dianli	linear
0291	市场	shichang	linear
0292	体系	tixi	linear
0293	建设	jianshe	linear
0294	促进	cujin	linear
0295	能源	nengyuan	linear
0296	资源	ziyuan	linear
0297	大	da	linear
0298	范围	fanwei	linear
0299	优化	youhua	linear
0300	配置	peizhi	linear
0301	加强	jiaqiang	linear
0302	迎峰度夏	yingfengduxia	linear
0303	期间	qijian	linear
0304	能源	nengyuan	linear
0305	保供	baogong	linear
0306	推动	tuidong	linear
0307	电煤	dianmei	linear
0308	市场	shichang	linear
0309	平稳	pingwen	linear
0310	运行	yunxing	linear
0311	科学	kexue	linear
0312	开展	kaizhan	linear
0313	电力	dianli	linear
0314	调度	diaodu	linear
0315	管理	guanli	linear
0316	确保	quebao	linear
0317	民生	minsheng	linear
0318	及	ji	linear
0319	重要	zhongyao	linear
0320	用户	yonghu	linear
0321	用电	yongdian	linear
0322	供应	gongying	linear
0323	安全	anquan	linear
0324	稳定	wending	linear
0325	在	zai	linear
0326	桃园	taoyuan	linear
0327	国控	guokong	linear
0328	环境	huanjing	linear
0329	空气	kongqi	linear
0330	自动	zidong	linear
0331	监测点	jianceidian	linear
# SKIP-PERSON 0332	丁薛祥	dingxuexiang	linear
0333	了解	liaojie	linear
0334	大气	daqi	linear
0335	污染	wuran	linear
0336	综合	zonghe	linear
0337	治理	zhili	linear
0338	情况	qingkuang	linear
0339	他	ta	linear
0340	强调	qiangdiao	linear
0341	蓝天	lantian	linear
0342	保卫战	baoweizhan	linear
0343	是	shi	linear
0344	污染	wuran	linear
0345	防治	fangzhi	linear
0346	攻坚战	gongjianzhan	linear
0347	的	de	linear
0348	重中之重	zhongzhongzhizhong	linear
0349	要	yao	linear
0350	优化	youhua	linear
0351	调整	tiaozheng	linear
0352	产业	chanye	linear
0353	结构	jiegou	linear
0354	能源	nengyuan	linear
0355	结构	jiegou	linear
0356	交通	jiaotong	linear
0357	运输	yunshu	linear
0358	结构	jiegou	linear
0359	从	cong	linear
0360	根本	genben	linear
0361	上	shang	linear
0362	解决	jiejue	linear
0363	环境	huanjing	linear
0364	污染	wuran	linear
0365	问题	wenti	linear
0366	提升	tisheng	linear
0367	科学	kexue	linear
0368	精准	jingzhun	linear
0369	治污	zhiwu	linear
0370	能力	nengli	linear
0371	加快	jiakuai	linear
0372	重点	zhongdian	linear
0373	行业	hangye	linear
0374	超低	chaodi	linear
0375	排放	paifang	linear
0376	改造	gaizao	linear
0377	依法	yifa	linear
0378	整治	zhengzhi	linear
0379	散乱污	sanluanwu	linear
0380	企业	qiye	linear
0381	持续	chixu	linear
0382	改善	gaishan	linear
0383	空气	kongqi	linear
0384	质量	zhiliang	linear
0385	生态	shengtai	linear
0386	环境	huanjing	linear
0387	监测	jiance	linear
0388	数据	shuju	linear
0389	要	yao	linear
0390	真实	zhenshi	linear
0391	准确	zhunque	linear
0392	为	wei	linear
0393	评估	pinggu	linear
0394	完善	wanshan	linear
0395	政策	zhengce	linear
0396	提供	tigong	linear
0397	科学	kexue	linear
0398	依据	yiju	linear
0399	支撑	zhicheng	linear
0400	打赢	daying	linear
0401	蓝天	lantian	linear
0402	碧水	bishui	linear
0403	净土	jingtu	linear
0404	保卫战	baoweizhan	linear
