# article 0003 — 刘国中 安徽调研 (linear typing plan)
# idx \t word \t pinyin \t reason

# SKIP-PERSON 0001	刘国中	liuguozhong	linear
0075	抓	zhua	linear
0076	得	de	linear
0077	好不好	haobuhao	linear
0078	事关	shiguan	linear
0079	全年	quannian	linear
0080	粮食	liangshi	linear
0081	生产	shengchan	linear
0082	目标	mubiao	linear
0083	任务	renwu	linear
0084	能否	nengfou	linear
0085	顺利	shunli	linear
0086	实现	shixian	linear
0087	当前	dangqian	linear
0088	正值	zhengzhi	linear
0089	三夏	sanxia	linear
0090	农业	nongye	linear
0091	生产	shengchan	linear
0092	关键	guanjian	linear
0093	时期	shiqi	linear
0094	要	yao	linear
0095	抓住	zhuazhu	linear
0096	有利	youli	linear
0097	天气	tianqi	linear
0098	抢	qiang	linear
0099	晴	qing	linear
0100	收获	shouhuo	linear
0101	组织	zuzhi	linear
0102	好	hao	linear
0103	农机	nongji	linear
0104	跨区	kuaqu	linear
0105	作业	zuoye	linear
0106	强化	qianghua	linear
0107	服务	fuwu	linear
0108	保障	baozhang	linear
0109	和	he	linear
0110	安全	anquan	linear
0111	管理	guanli	linear
0112	确保	quebao	linear
0113	夏收	xiashou	linear
0114	高效	gaoxiao	linear
0115	进行	jinxing	linear
0116	要	yao	linear
0117	抓实	zhuashi	linear
0118	抓牢	zhualao	linear
0119	机收	jishou	linear
0120	减损	jiansun	linear
0121	烘干	honggan	linear
0122	晾晒	liangshai	linear
0123	等	deng	linear
0124	各项	gexiang	linear
0125	措施	cuoshi	linear
0126	最大	zuida	linear
0127	程度	chengdu	linear
0128	减少	jianshao	linear
0129	粮食	liangshi	linear
0130	损失	sunshi	linear
0131	要	yao	linear
0132	精心	jingxin	linear
0133	做好	zuohao	linear
0134	夏粮	xialiang	linear
0135	收购	shougou	linear
0136	工作	gongzuo	linear
0137	引导	yindao	linear
0138	各类	gelei	linear
0139	企业	qiye	linear
0140	积极	jiji	linear
0141	入市	rushi	linear
0142	保障	baozhang	linear
0143	粮食	liangshi	linear
0144	市场	shichang	linear
0145	平稳	pingwen	linear
0146	运行	yunxing	linear
0147	要	yao	linear
0148	压茬	yacha	linear
0149	推进	tuijin	linear
0150	夏播	xiabo	linear
0151	加强	jiaqiang	linear
0152	农资	nongzi	linear
0153	供应	gongying	linear
0154	和	he	linear
0155	农事	nongshi	linear
0156	服务	fuwu	linear
0157	强化	qianghua	linear
0158	技术	jishu	linear
0159	集成	jicheng	linear
0160	及	ji	linear
0161	推广	tuiguang	linear
0162	应用	yingyong	linear
0163	落实	luoshi	linear
0164	落细	luoxi	linear
0165	合理	heli	linear
0166	密植	mizhi	linear
0167	精量	jingliang	linear
0168	播种	bozhong	linear
0169	等	deng	linear
0170	大面积	damianji	linear
0171	单产	danchan	linear
0172	提升	tisheng	linear
0173	措施	cuoshi	linear
0174	切实	qieshi	linear
0175	将	jiang	linear
0176	试验田	shiyantian	linear
0177	合成	hecheng	linear
0178	技术	jishu	linear
0179	转化	zhuanhua	linear
0180	应用	yingyong	linear
0181	到	dao	linear
0182	大田	datian	linear
0183	中	zhong	linear
0184	要	yao	linear
0185	分区	fenqu	linear
0186	分类	fenlei	linear
0187	推进	tuijin	linear
0188	夏管	xiaguan	linear
0189	因	yin	linear
0190	地	di	linear
0191	因	yin	linear
0192	苗	miao	linear
0193	加强	jiaqiang	linear
0194	田间	tianjian	linear
0195	管理	guanli	linear
0196	积极	jiji	linear
0197	探索	tansuo	linear
0198	推广	tuiguang	linear
0199	有效	youxiao	linear
0200	田管	tianguan	linear
0201	措施	cuoshi	linear
# SKIP-PERSON 0202	刘国中	liuguozhong	linear
0203	强调	qiangdiao	linear
0204	要	yao	linear
0205	始终	shizhong	linear
0206	绷紧	bengjin	linear
0207	农业	nongye	linear
0208	防灾减灾	fangzaijianzai	linear
0209	这	zhe	linear
0210	根	gen	linear
0211	弦	xian	linear
0212	充分	chongfen	linear
0213	估计	guji	linear
0214	可能	keneng	linear
0215	出现	chuxian	linear
0216	的	de	linear
0217	各类	gelei	linear
0218	灾害	zaihai	linear
0219	风险	fengxian	linear
0220	完善	wanshan	linear
0221	应对	yingdui	linear
0222	机制	jizhi	linear
0223	做好	zuohao	linear
0224	应急	yingji	linear
0225	预案	yu'an	linear
0226	强化	qianghua	linear
0227	统筹	tongchou	linear
0228	调度	diaodu	linear
0229	牢牢	laolao	linear
0230	把握	bawo	linear
0231	抗灾	kangzai	linear
0232	夺	duo	linear
0233	丰收	fengshou	linear
0234	主动权	zhudongquan	linear
0235	要	yao	linear
0236	持续	chixu	linear
0237	加强	jiaqiang	linear
0238	高标准	gaobiaozhun	linear
0239	农田	nongtian	linear
0240	建设	jianshe	linear
0241	加快	jiakuai	linear
0242	推进	tuijin	linear
0243	农田	nongtian	linear
0244	沟渠	gouqu	linear
0245	修复	xiufu	linear
0246	整治	zhengzhi	linear
0247	和	he	linear
0248	平原	pingyuan	linear
0249	涝区	laoqu	linear
0250	治理	zhili	linear
0251	补齐	buqi	linear
0252	农田	nongtian	linear
0253	排涝	pailao	linear
0254	设施	sheshi	linear
0255	短板	duanban	linear
0256	要	yao	linear
0257	完善	wanshan	linear
0258	部门	bumen	linear
0259	常态化	changtaihua	linear
0260	会商	huishang	linear
0261	机制	jizhi	linear
0262	加强	jiaqiang	linear
0263	气象	qixiang	linear
0264	精准	jingzhun	linear
0265	预报	yubao	linear
0266	和	he	linear
0267	风险	fengxian	linear
0268	预警	yujing	linear
0269	科学	kexue	linear
0270	调度	diaodu	linear
0271	水利	shuili	linear
0272	工程	gongcheng	linear
0273	落实	luoshi	linear
0274	农业	nongye	linear
0275	防灾减灾	fangzaijianzai	linear
0276	关键	guanjian	linear
0277	措施	cuoshi	linear
0278	为	wei	linear
0279	粮食	liangshi	linear
0280	稳产	wenchan	linear
0281	增产	zengchan	linear
0282	奠定	dianding	linear
0283	坚实	jianshi	linear
0284	基础	jichu	linear
