# K554 — 上积代数拓扑
# persons: 

0001	代数	daishu	linear
0124	第	di	linear
0125	个	ge	linear
0126	背面	beimian	linear
0127	上	shang	linear
0128	链	lian	linear
0129	与	yu	linear
0130	的	de	linear
0131	上积	shangji	linear
0132	的	de	linear
0133	上	shang	linear
0134	边缘	bianyuan	linear
0135	为	wei	linear
0136	两个	liangge	linear
0137	上	shang	linear
0138	循环	xunhuan	linear
0139	的	de	linear
0140	上积	shangji	linear
0141	仍	reng	linear
0142	是	shi	linear
0143	上	shang	linear
0144	循环	xunhuan	linear
0145	上	shang	linear
0146	边缘	bianyuan	linear
0147	与	yu	linear
0148	上	shang	linear
0149	循环	xunhuan	linear
0150	任意	renyi	linear
0151	顺序	shunxu	linear
0152	的	de	linear
0153	积	ji	linear
0154	仍	reng	linear
0155	是	shi	linear
0156	上	shang	linear
0157	边缘	bianyuan	linear
0158	上积	shangji	linear
0159	在	zai	linear
0160	上同调	shangtongdiao	linear
0161	中	zhong	linear
0162	引入	yinru	linear
0163	了	le	linear
0164	双线性	shuangxianxing	linear
0165	运算	yunsuan	linear
0166	性质	xingzhi	linear
0167	上同调	shangtongdiao	linear
0168	中	zhong	linear
0169	的	de	linear
0170	上积	shangji	linear
0171	满足	manzu	linear
0172	以下	yixia	linear
0173	特性	texing	linear
0174	因此	yinci	linear
0175	相应	xiangying	linear
0176	的	de	linear
0177	乘法	chengfa	linear
0178	是	shi	linear
0179	分次	fenci	linear
0180	交换	jiaohuan	linear
0181	的	de	linear
0182	上积	shangji	linear
0183	的	de	linear
0184	函子性	hanzixing	linear
0185	体现	tixian	linear
0186	在	zai	linear
0187	以下	yixia	linear
0188	方面	fangmian	linear
0189	若	ruo	linear
0190	是	shi	linear
0191	连续函数	lianxuhanshu	linear
0192	是	shi	linear
0193	上同调	shangtongdiao	linear
0194	中	zhong	linear
0195	的	de	linear
0196	诱导	youdao	linear
0197	同态	tongtai	linear
0198	则	ze	linear
0199	对	dui	linear
0200	中	zhong	linear
0201	所有	suoyou	linear
0202	类	lei	linear
0203	也就是说	yejiushishuo	linear
0204	是	shi	linear
0205	分	fen	linear
0206	次	ci	linear
0207	环	huan	linear
0208	同态	tongtai	linear
0209	解释	jieshi	linear
0210	可	ke	linear
0211	将	jiang	linear
0212	上积	shangji	linear
0213	视作	shizuo	linear
0214	由	you	linear
0215	下面	xiamian	linear
0216	的	de	linear
0217	组合	zuhe	linear
0218	诱导	youdao	linear
0219	而	er	linear
0220	来	lai	linear
0221	以	yi	linear
0222	与	yu	linear
0223	的	de	linear
0224	链	lian	linear
0225	复形	fuxing	linear
0226	表示	biaoshi	linear
0227	其中	qizhong	linear
0228	第一个	diyige	linear
0229	映射	yingshe	linear
0230	是	shi	linear
0231	克奈	kenai	linear
0232	映射	yingshe	linear
0233	第二个	dierge	linear
0234	映射	yingshe	linear
0235	由	you	linear
0236	对角	duijiao	linear
0237	诱导	youdao	linear
0238	这个	zhege	linear
0239	构成	goucheng	linear
0240	传给	chuangei	linear
0241	商	shang	linear
0242	便	bian	linear
0243	给出	geichu	linear
0244	了	le	linear
0245	良	liang	linear
0246	定义	dingyi	linear
0247	的	de	linear
0248	上同调	shangtongdiao	linear
0249	映射	yingshe	linear
0250	这	zhe	linear
0251	就是	jiushi	linear
0252	上积	shangji	linear
0253	这种	zhezhong	linear
0254	方法	fangfa	linear
0255	解释	jieshi	linear
0256	了	le	linear
0257	上同调	shangtongdiao	linear
0258	上积	shangji	linear
0259	的	de	linear
0260	存在	cunzai	linear
0261	但	dan	linear
0262	没有	meiyou	linear
0263	解释	jieshi	linear
0264	同调	tongdiao	linear
0265	上积	shangji	linear
0266	诱导	youdao	linear
0267	了	le	linear
0268	映射	yingshe	linear
0269	但	dan	linear
0270	还	hai	linear
0271	会	hui	linear
0272	诱导	youdao	linear
0273	映射	yingshe	linear
0274	后者	houzhe	linear
0275	与	yu	linear
0276	我们	women	linear
0277	定义	dingyi	linear
0278	积	ji	linear
0279	的	de	linear
0280	方法	fangfa	linear
0281	相反	xiangfan	linear
0282	不过	buguo	linear
0283	这	zhe	linear
0284	在	zai	linear
0285	定义	dingyi	linear
0286	下积	xiaji	linear
0287	时	shi	linear
0288	是	shi	linear
0289	有用	youyong	linear
0290	的	de	linear
0291	上积	shangji	linear
0292	的	de	linear
0293	这种	zhezhong	linear
0294	表达	biaoda	linear
0295	体现	tixian	linear
0296	了	le	linear
0297	双线性	shuangxianxing	linear
0298	即	ji	linear
0299	例子	lizi	linear
0300	上积	shangji	linear
0301	可用	keyong	linear
0302	来	lai	linear
0303	区分	qufen	linear
0304	流形	liuxing	linear
0305	和	he	linear
0306	具有	juyou	linear
0307	相同	xiangtong	linear
0308	上同调群	shangtongdiaoqun	linear
0309	的	de	linear
0310	空间	kongjian	linear
0311	之	zhi	linear
0312	楔	xie	linear
0313	空间	kongjian	linear
0314	与	yu	linear
0315	环面	huanmian	linear
0316	具有	juyou	linear
0317	相同	xiangtong	linear
0318	的	de	linear
0319	上同调群	shangtongdiaoqun	linear
0320	但	dan	linear
0321	具有	juyou	linear
0322	不同	butong	linear
0323	的	de	linear
0324	上积	shangji	linear
0325	在	zai	linear
0326	的	de	linear
0327	情况	qingkuang	linear
0328	下	xia	linear
0329	与	yu	linear
0330	相关	xiangguan	linear
0331	的	de	linear
0332	上	shang	linear
0333	链	lian	linear
0334	的	de	linear
0335	乘法	chengfa	linear
0336	是	shi	linear
0337	退化	tuihua	linear
0338	的	de	linear
0339	而	er	linear
0340	在	zai	linear
0341	中	zhong	linear
0342	第一个	diyige	linear
0343	上同调群	shangtongdiaoqun	linear
0344	中	zhong	linear
0345	的	de	linear
0346	乘法	chengfa	linear
0347	可	ke	linear
0348	用于	yongyu	linear
0349	将	jiang	linear
0350	环面	huanmian	linear
0351	分解	fenjie	linear
0352	为胞	weibao	linear
0353	图	tu	linear
0354	从而	conger	linear
0355	使积	shiji	linear
0356	等于	dengyu	linear
0357	更	geng	linear
0358	一般地说	yibandishuo	linear
0359	是	shi	linear
0360	此处	cichu	linear
0361	是	shi	linear
0362	基模	jimo	linear
0363	其他	qita	linear
0364	定义	dingyi	linear
0365	上积	shangji	linear
0366	与	yu	linear
0367	微分形式	weifenxingshi	linear
0368	在	zai	linear
0369	德拉姆	delamu	linear
0370	上同调	shangtongdiao	linear
0371	中	zhong	linear
0372	微分形式	weifenxingshi	linear
0373	的	de	linear
0374	上积	shangji	linear
0375	由	you	linear
0376	楔积	xieji	linear
0377	导出	daochu	linear
0378	即	ji	linear
0379	两个	liangge	linear
0380	闭	bi	linear
0381	微分形式	weifenxingshi	linear
0382	的	de	linear
0383	楔积	xieji	linear
0384	属于	shuyu	linear
0385	两个	liangge	linear
0386	原	yuan	linear
0387	德拉姆	delamu	linear
0388	类	lei	linear
0389	的	de	linear
0390	上积	shangji	linear
0391	的	de	linear
0392	德拉姆	delamu	linear
0393	类	lei	linear
0394	上积	shangji	linear
0395	与	yu	linear
0396	几何	jihe	linear
0397	相交	xiangjiao	linear
0398	对于	duiyu	linear
0399	定向	dingxiang	linear
0400	流形	liuxing	linear
0401	有	you	linear
0402	几何	jihe	linear
0403	启发式	qifashi	linear
0404	即	ji	linear
0405	上积	shangji	linear
0406	与	yu	linear
0407	相交	xiangjiao	linear
0408	是	shi	linear
0409	对偶	duiou	linear
0410	的	de	linear
0411	令	ling	linear
0412	为	wei	linear
0413	维	wei	linear
0414	定向	dingxiang	linear
0415	光滑	guanghua	linear
0416	流形	liuxing	linear
0417	若	ruo	linear
0418	两个	liangge	linear
0419	余维	yuwei	linear
0420	分别	fenbie	linear
0421	是	shi	linear
0422	的	de	linear
0423	子	zi	linear
0424	流形	liuxing	linear
0425	横截	hengjie	linear
0426	着	zhe	linear
0427	交	jiao	linear
0428	那么	name	linear
0429	它们	tamen	linear
0430	的	de	linear
0431	交	jiao	linear
0432	又	you	linear
0433	是	shi	linear
0434	余维是	yuweishi	linear
0435	的	de	linear
0436	子	zi	linear
0437	流形	liuxing	linear
0438	将	jiang	linear
0439	这些	zhexie	linear
0440	流形	liuxing	linear
0441	的	de	linear
0442	基本	jiben	linear
0443	同调	tongdiao	linear
0444	类	lei	linear
0445	的	de	linear
0446	像	xiang	linear
0447	置于	zhiyu	linear
0448	包含	baohan	linear
0449	之中	zhizhong	linear
0450	就	jiu	linear
0451	可以	keyi	linear
0452	得到	dedao	linear
0453	同调	tongdiao	linear
0454	上	shang	linear
0455	的	de	linear
0456	双线性	shuangxianxing	linear
0457	积	ji	linear
0458	与	yu	linear
0459	上积	shangji	linear
0460	是	shi	linear
0461	庞加莱	pangjialai	linear
0462	对偶	duiou	linear
0463	的	de	linear
0464	即取	jiqu	linear
0465	庞加莱	pangjialai	linear
0466	对	dui	linear
0467	则	ze	linear
0468	有	you	linear
0469	以下	yixia	linear
0470	等式	dengshi	linear
0471	同样	tongyang	linear
0472	环绕	huanrao	linear
0473	数	shu	linear
0474	也	ye	linear
0475	可用	keyong	linear
0476	交	jiao	linear
0477	来	lai	linear
0478	定义	dingyi	linear
0479	将	jiang	linear
0479	维	wei	linear
0479	数	shu	linear
0480	移动	yidong	linear
0481	或者	huozhe	linear
0482	用链	yonglian	linear
0483	之	zhi	linear
0484	补上	bushang	linear
0485	的	de	linear
0486	非	fei	linear
0486	零	ling	linear
0486	上	shang	linear
0487	积来	jilai	linear
0488	定义	dingyi	linear
0489	梅西积	meixiji	linear
0490	上积	shangji	linear
0491	是	shi	linear
0492	二元	eryuan	linear
0493	运算	yunsuan	linear
0494	可以	keyi	linear
0495	定义	dingyi	linear
0496	三元	sanyuan	linear
0497	甚至	shenzhi	linear
0498	多元	duoyuan	linear
0499	的	de	linear
0500	高阶	gaojie	linear
0501	运算	yunsuan	linear
0502	称作	chengzuo	linear
0503	梅西积	meixiji	linear
0504	是	shi	linear
0505	上积	shangji	linear
0506	的	de	linear
0507	推广	tuiguang	linear
0508	它	ta	linear
0509	是	shi	linear
0510	一种	yizhong	linear
0511	高阶	gaojie	linear
0512	上同调	shangtongdiao	linear
0513	运算	yunsuan	linear
0514	目前	muqian	linear
0515	只	zhi	linear
0516	定义	dingyi	linear
0517	了	le	linear
0518	一部分	yibufen	linear
0519	只	zhi	linear
0520	定义	dingyi	linear
0521	了	le	linear
0522	部分	bufen	linear
0523	三元	sanyuan	linear
0524	运算	yunsuan	linear
0525	另见	lingjian	linear
0526	奇异	qiyi	linear
0527	同调	tongdiao	linear
0528	同调	tongdiao	linear
0529	下积	xiaji	linear
0530	梅西积	meixiji	linear
0531	参考文献	cankaowenxian	linear
0532	页面	yemian	linear
0533	存档	cundang	linear
0534	备份	beifen	linear
0535	存于	cunyu	linear
0536	互联网	hulianwang	linear
0537	档案馆	danganguan	linear
