# K008 — 坂本浩一导演 (百科/电影)
# persons: 坂本浩一

0001	年月日	nianyueri	linear
0141	话	hua	linear
0142	特技	teji	linear
0143	动作	dongzuo	linear
0144	协调员	xietiaoyuan	linear
0145	第	di	linear
0146	话	hua	linear
0147	联合	lianhe	linear
0148	制片	zhipian	linear
0149	金刚	jingang	linear
0150	战士	zhanshi	linear
0151	监督	jiandu	linear
0152	动作	dongzuo	linear
0153	指导	zhidao	linear
0154	联合	lianhe	linear
0155	制片	zhipian	linear
0156	特技	teji	linear
0157	动作	dongzuo	linear
0158	协调员	xietiaoyuan	linear
0159	金刚	jingang	linear
0160	战士	zhanshi	linear
0161	导演	daoyan	linear
0162	特技	teji	linear
0163	动作	dongzuo	linear
0164	协调员	xietiaoyuan	linear
0165	联合	lianhe	linear
0166	制片	zhipian	linear
0167	动作	dongzuo	linear
0168	指导	zhidao	linear
0169	金刚	jingang	linear
0170	战士	zhanshi	linear
0171	导演	daoyan	linear
0172	动作	dongzuo	linear
0173	指导	zhidao	linear
0174	联合	lianhe	linear
0175	制片人	zhipianren	linear
0176	特技	teji	linear
0177	动作	dongzuo	linear
0178	协调员	xietiaoyuan	linear
0179	金刚	jingang	linear
0180	战士	zhanshi	linear
0181	导演	daoyan	linear
0182	联合	lianhe	linear
0183	执行	zhixing	linear
0184	制片人	zhipianren	linear
0185	金刚	jingang	linear
0186	战士	zhanshi	linear
0187	联合	lianhe	linear
0188	执行	zhixing	linear
0189	制片人	zhipianren	linear
0190	金刚	jingang	linear
0191	战士	zhanshi	linear
0192	执行	zhixing	linear
0193	制片人	zhipianren	linear
0194	金刚	jingang	linear
0195	战士	zhanshi	linear
0196	执行	zhixing	linear
0197	制片人	zhipianren	linear
0198	金刚	jingang	linear
0199	战士	zhanshi	linear
0200	执行	zhixing	linear
0201	制片人	zhipianren	linear
0202	金刚	jingang	linear
0203	战士	zhanshi	linear
0204	执行	zhixing	linear
0205	制片人	zhipianren	linear
0206	第二	dier	linear
0207	工作组	gongzuozu	linear
0208	主任	zhuren	linear
0209	金刚	jingang	linear
0210	战士	zhanshi	linear
0211	执行	zhixing	linear
0212	制片人	zhipianren	linear
0213	金刚	jingang	linear
0214	战士	zhanshi	linear
0215	动作	dongzuo	linear
0216	导演	daoyan	linear
0217	集	ji	linear
0218	演员	yanyuan	linear
0219	武术指导	wushuzhidao	linear
0220	集	ji	linear
0221	战队	zhandui	linear
0222	系列	xilie	linear
0223	电视剧	dianshiju	linear
0224	魔法	mofa	linear
0225	战队	zhandui	linear
0226	魔法	mofa	linear
0227	连者	lianzhe	linear
0228	纽西兰	niuxilan	linear
0229	工作组	gongzuozu	linear
0230	动作	dongzuo	linear
0231	指导	zhidao	linear
0232	兽拳	shouquan	linear
0233	战队	zhandui	linear
0234	激气	jiqi	linear
0235	连者	lianzhe	linear
0236	纽西兰	niuxilan	linear
0237	工作组	gongzuozu	linear
0238	动作	dongzuo	linear
0239	指导	zhidao	linear
0240	海贼	haizei	linear
0241	战队	zhandui	linear
0242	豪快	haokuai	linear
0243	者	zhe	linear
0244	导演	daoyan	linear
0245	兽电	shoudian	linear
0246	战队	zhandui	linear
0247	强龙者	qianglongzhe	linear
0248	导演	daoyan	linear
0249	兽电	shoudian	linear
0250	战队	zhandui	linear
0251	强龙者	qianglongzhe	linear
0252	导演	daoyan	linear
0253	动作	dongzuo	linear
0254	导演	daoyan	linear
0255	连续	lianxu	linear
0256	周	zhou	linear
0257	特别篇	tebiepian	linear
0258	超级	chaoji	linear
0259	战队	zhandui	linear
0260	最强	zuiqiang	linear
0261	对战	duizhan	linear
0262	导演	daoyan	linear
0263	动作	dongzuo	linear
0264	导演	daoyan	linear
0265	骑士	qishi	linear
0266	龙	long	linear
0267	战队	zhandui	linear
0268	龙	long	linear
0269	装者	zhuangzhe	linear
0270	导演	daoyan	linear
0271	魔进	mojin	linear
0272	战队	zhandui	linear
0273	煌	huang	linear
0274	辉者	huizhe	linear
0275	导演	daoyan	linear
0276	剧场版	juchangban	linear
0277	剧场版	juchangban	linear
0278	兽电	shoudian	linear
0279	战队	zhandui	linear
0280	强龙者	qianglongzhe	linear
0281	导演	daoyan	linear
0282	剧场版	juchangban	linear
0283	兽电	shoudian	linear
0284	战队	zhandui	linear
0285	强龙者	qianglongzhe	linear
0286	导演	daoyan	linear
0287	剧场版	juchangban	linear
0288	兽电	shoudian	linear
0289	战队	zhandui	linear
0290	强龙者	qianglongzhe	linear
0291	导演	daoyan	linear
0292	动作	dongzuo	linear
0293	导演	daoyan	linear
0294	非	fei	linear
0295	电影院	dianyingyuan	linear
0296	首映	shouying	linear
0297	宇宙	yuzhou	linear
0298	戦	zhan	linear
0299	队	dui	linear
0300	导演	daoyan	linear
0301	魔进	mojin	linear
0302	战队	zhandui	linear
0303	煌	huang	linear
0304	辉者	huizhe	linear
0305	龙	long	linear
0306	装者	zhuangzhe	linear
0307	导演	daoyan	linear
0308	动作	dongzuo	linear
0309	导演	daoyan	linear
0310	网路	wanglu	linear
0311	广播	guangbo	linear
0312	宇宙	yuzhou	linear
0313	戦	zhan	linear
0314	队	dui	linear
0315	监督	jiandu	linear
0316	出演	chuyan	linear
0317	非	fei	linear
0318	公认	gongren	linear
0319	战队	zhandui	linear
0320	秋叶原	qiuyeyuan	linear
0321	连者	lianzhe	linear
0322	痛	tong	linear
0323	役	yi	linear
0324	第话	dihua	linear
0325	假面	jiamian	linear
0326	骑士	qishi	linear
0327	系列	xilie	linear
0328	电视剧	dianshiju	linear
0329	第二	dier	linear
0330	摄影	sheying	linear
0331	组	zu	linear
0332	导演	daoyan	linear
0333	版	ban	linear
0334	第	di	linear
0335	话	hua	linear
0336	假面	jiamian	linear
0337	骑士	qishi	linear
0338	导演	daoyan	linear
0339	假面	jiamian	linear
0340	骑士	qishi	linear
0341	导演	daoyan	linear
0342	假面	jiamian	linear
0343	骑士	qishi	linear
0344	导演	daoyan	linear
0345	分镜	fenjing	linear
0346	假面	jiamian	linear
0347	骑士	qishi	linear
0348	导演	daoyan	linear
0349	分镜	fenjing	linear
0350	假面	jiamian	linear
0351	骑士	qishi	linear
0352	导演	daoyan	linear
0353	假面	jiamian	linear
0354	骑士	qishi	linear
0355	圣刃	shengren	linear
0356	导演	daoyan	linear
0357	假面	jiamian	linear
0358	骑士	qishi	linear
0359	导演	daoyan	linear
0360	假面	jiamian	linear
0361	骑士	qishi	linear
0362	导演	daoyan	linear
0363	剧场版	juchangban	linear
0364	假面	jiamian	linear
0365	骑士	qishi	linear
0366	至	zhi	linear
0367	命运	mingyun	linear
0368	的	de	linear
0369	导演	daoyan	linear
0370	假面	jiamian	linear
0371	骑士	qishi	linear
0372	将军	jiangjun	linear
0373	与	yu	linear
0374	枚	mei	linear
0375	核心	hexin	linear
0376	硬币	yingbi	linear
0377	假面	jiamian	linear
0378	骑士	qishi	linear
0379	演出	yanchu	linear
0380	协力	xieli	linear
0381	假面	jiamian	linear
0382	骑士	qishi	linear
0383	假面	jiamian	linear
0384	骑士	qishi	linear
0385	大战	dazhan	linear
0386	导演	daoyan	linear
0387	动作	dongzuo	linear
0388	导演	daoyan	linear
0389	假面	jiamian	linear
0390	骑士	qishi	linear
0391	大家	dajia	linear
0392	的	de	linear
0393	宇宙	yuzhou	linear
0394	来	lai	linear
0395	了	le	linear
0396	导演	daoyan	linear
0397	动作	dongzuo	linear
0398	导演	daoyan	linear
0399	假面	jiamian	linear
0400	骑士	qishi	linear
0401	假面	jiamian	linear
0402	骑士	qishi	linear
0403	大战	dazhan	linear
0404	导演	daoyan	linear
0405	动作	dongzuo	linear
0406	导演	daoyan	linear
0407	假面	jiamian	linear
0408	骑士	qishi	linear
0409	平成	pingcheng	linear
0410	对	dui	linear
0411	传说	chuanshuo	linear
0412	骑士	qishi	linear
0413	导演	daoyan	linear
0414	分镜	fenjing	linear
0415	剧场版	juchangban	linear
0416	假面	jiamian	linear
0417	骑士	qishi	linear
0418	监督	jiandu	linear
0419	非	fei	linear
0420	电影院	dianyingyuan	linear
0421	首映	shouying	linear
0422	假面	jiamian	linear
0423	骑士	qishi	linear
0424	系列	xilie	linear
0425	导演	daoyan	linear
0426	动作	dongzuo	linear
0427	导演	daoyan	linear
0428	假面	jiamian	linear
0429	骑士	qishi	linear
0430	假面	jiamian	linear
0431	骑士	qishi	linear
0432	假面	jiamian	linear
0433	骑士	qishi	linear
0434	导演	daoyan	linear
0435	网路	wanglu	linear
0436	广播	guangbo	linear
0437	假面	jiamian	linear
0438	骑士	qishi	linear
0439	圣刃	shengren	linear
0440	外传	waizhuan	linear
0441	剑士	jianshi	linear
0442	列传	liezhuan	linear
0443	导演	daoyan	linear
0444	假面	jiamian	linear
0445	骑士	qishi	linear
0446	圣刃	shengren	linear
0447	导演	daoyan	linear
0448	假面	jiamian	linear
0449	骑士	qishi	linear
0450	导演	daoyan	linear
0451	假面	jiamian	linear
0452	骑士	qishi	linear
0453	导演	daoyan	linear
0454	独家	dujia	linear
0455	剧场版	juchangban	linear
0456	假面	jiamian	linear
0457	骑士	qishi	linear
0458	外传	waizhuan	linear
0459	导演	daoyan	linear
0460	假面	jiamian	linear
0461	骑士	qishi	linear
0462	假面	jiamian	linear
0463	骑士	qishi	linear
0464	导演	daoyan	linear
0465	假面	jiamian	linear
0466	骑士	qishi	linear
0467	导演	daoyan	linear
0468	假面	jiamian	linear
0469	骑士	qishi	linear
0470	假面	jiamian	linear
0471	骑士	qishi	linear
0472	导演	daoyan	linear
0473	超	chao	linear
0474	人力	renli	linear
0475	霸王	bawang	linear
0476	系列	xilie	linear
0477	大	da	linear
0478	怪兽	guaishou	linear
0479	格斗	gedou	linear
0480	超	chao	linear
0481	银河	yinhe	linear
0482	传说	chuanshuo	linear
0483	主	zhu	linear
0484	导演	daoyan	linear
0485	超	chao	linear
0486	人力	renli	linear
0487	霸王	bawang	linear
0488	银河	yinhe	linear
0489	东京	dongjing	linear
0490	电视台	dianshitai	linear
0491	主	zhu	linear
0492	导演	daoyan	linear
0493	超级	chaoji	linear
0494	格斗	gedou	linear
0495	胜利	shengli	linear
0496	主	zhu	linear
0497	导演	daoyan	linear
0498	剧场版	juchangban	linear
0499	超	chao	linear
0500	人力	renli	linear
0501	霸王	bawang	linear
0502	银河	yinhe	linear
0503	决战	juezhan	linear
0504	超人	chaoren	linear
0505	勇士	yongshi	linear
0506	主	zhu	linear
0507	导演	daoyan	linear
0508	超	chao	linear
0509	人力	renli	linear
0510	霸王	bawang	linear
0511	话	hua	linear
0512	话	hua	linear
0513	东京	dongjing	linear
0514	电视台	dianshitai	linear
0515	超级	chaoji	linear
0516	格斗	gedou	linear
0517	欧布	oubu	linear
0518	主	zhu	linear
0519	导演	daoyan	linear
0520	超	chao	linear
0521	人力	renli	linear
0522	霸王	bawang	linear
0523	捷德	jiede	linear
0524	东京	dongjing	linear
0525	电视台	dianshitai	linear
0526	主	zhu	linear
0527	导演	daoyan	linear
0528	剧场版	juchangban	linear
0529	超	chao	linear
0530	人力	renli	linear
0531	霸王	bawang	linear
0532	捷德	jiede	linear
0533	连系起来	lianxiqilai	linear
0534	愿望	yuanwang	linear
0535	超	chao	linear
0536	人力	renli	linear
0537	霸王	bawang	linear
0538	话	hua	linear
0539	东京	dongjing	linear
0540	电视台	dianshitai	linear
0541	超级	chaoji	linear
0542	银河	yinhe	linear
0543	格斗	gedou	linear
0544	系列	xilie	linear
0545	至今	zhijin	linear
0546	主	zhu	linear
0547	导演	daoyan	linear
0548	超	chao	linear
0549	人力	renli	linear
0550	霸王	bawang	linear
0551	特	te	linear
0552	利卡	lika	linear
0553	东京	dongjing	linear
0554	电视台	dianshitai	linear
0555	主	zhu	linear
0556	导演	daoyan	linear
0557	超	chao	linear
0558	人力	renli	linear
0559	霸王	bawang	linear
0560	东京	dongjing	linear
0561	电视台	dianshitai	linear
0562	超	chao	linear
0563	人力	renli	linear
0564	霸王	bawang	linear
0565	雷古	leigu	linear
0566	洛斯	luosi	linear
0567	主	zhu	linear
0568	导演	daoyan	linear
0569	电影	dianying	linear
0570	武侠片	wuxiapian	linear
0571	卧底	wodi	linear
0572	特技	teji	linear
0573	动作	dongzuo	linear
0574	协调	xietiao	linear
0575	特技	teji	linear
0576	动作	dongzuo	linear
0577	协调	xietiao	linear
0578	强殖	qiangzhi	linear
0579	装甲	zhuangjia	linear
0580	替身	tishen	linear
0581	与	yu	linear
0582	特技	teji	linear
0583	动作	dongzuo	linear
0584	协调	xietiao	linear
0585	特技	teji	linear
0586	动作	dongzuo	linear
0587	协调	xietiao	linear
0588	致命	zhiming	linear
0589	目标	mubiao	linear
0590	特技	teji	linear
0591	动作	dongzuo	linear
0592	协调	xietiao	linear
0593	午夜	wuye	linear
0594	行踪	xingzong	linear
0595	追加	zhuijia	linear
0596	摄影	sheying	linear
0597	部分	bufen	linear
0598	的	de	linear
0599	特技	teji	linear
0600	动作	dongzuo	linear
0601	协调	xietiao	linear
0602	太空	taikong	linear
0603	卡车	kache	linear
0604	特技	teji	linear
0605	动作	dongzuo	linear
0606	协调	xietiao	linear
0607	替身	tishen	linear
0608	与	yu	linear
0609	特技	teji	linear
0610	动作	dongzuo	linear
0611	协调	xietiao	linear
0612	铁弋	tieyi	linear
0613	战警	zhanjing	linear
0614	替身	tishen	linear
0615	与	yu	linear
0616	特技	teji	linear
0617	动作	dongzuo	linear
0618	协调	xietiao	linear
0619	第二	dier	linear
0620	工作组	gongzuozu	linear
0621	导演	daoyan	linear
0622	外	wai	linear
0623	道	dao	linear
0624	替身	tishen	linear
0625	与	yu	linear
0626	特技	teji	linear
0627	动作	dongzuo	linear
0628	协调	xietiao	linear
0629	导演	daoyan	linear
0630	横山	hengshan	linear
0631	诚连名	chenglianming	linear
0632	来自	laizi	linear
0633	地狱	diyu	linear
0634	的	de	linear
0635	特技	teji	linear
0636	动作	dongzuo	linear
0637	协调	xietiao	linear
0638	预言	yuyan	linear
0639	上升	shangsheng	linear
0640	特技	teji	linear
0641	动作	dongzuo	linear
0642	协调	xietiao	linear
0643	神鬼	shengui	linear
0644	大	da	linear
0645	反扑	fanpu	linear
0646	特技	teji	linear
0647	动作	dongzuo	linear
0648	协调	xietiao	linear
0649	鬼	gui	linear
0650	特技	teji	linear
0651	动作	dongzuo	linear
0652	协调	xietiao	linear
0653	蚁王	yiwang	linear
0654	特技	teji	linear
0655	动作	dongzuo	linear
0656	协调	xietiao	linear
0657	导演	daoyan	linear
0658	外部	waibu	linear
0659	连结	lianjie	linear
0660	公式	gongshi	linear
0661	页面	yemian	linear
0662	存档	cundang	linear
0663	备份	beifen	linear
0664	存于	cunyu	linear
0665	互联网	hulianwang	linear
0666	档案馆	danganguan	linear
0667	拍摄	paishe	linear
0668	记录	jilu	linear
