aba	阿坝
axiuluo	阿修罗
ayuwang	阿育王
babaoshan	八宝山
babaoshangeminggongmu	八宝山革命公墓
babi	芭比
babiao	靶标
babilun	巴比伦
bacao	拔草
bachu	拔出
bachulai	拔出来
badachu	八大处
badaling	八达岭
badanjilinshamo	巴丹吉林沙漠
badian	靶点
baerganbandao	巴尔干半岛
bafeite	巴菲特
baguatu	八卦图
bahe	巴赫
baiaiai	白皑皑
baiban	白斑
baicaoji	佰草集
baichengshi	白城市
baichigantougengjinyibu	百尺竿头更进一步
baichongxi	白崇禧
baichui	摆锤
baida	百搭
baidicheng	白帝城
baie	白俄
baieluosigongheguo	白俄罗斯共和国
baier	拜耳
baifenwei	百分位
baifo	拜佛
baifu	拜服
baifuzhang	百夫长
baifuzi	白附子
baige	白鸽
baigongguan	白公馆
baiguang	白光
baiguazi	白瓜子
baigujing	白骨精
baiguoshu	白果树
baihaitun	白海豚
baihu	白虎
baihua	白化
baihua	白桦
baihua	百花
baihuajiang	百花奖
baihualin	白桦林
baihuanghuang	白晃晃
baihuashu	白桦树
baihuhu	白乎乎
baihuojiao	拜火教
baiji	白及
baijiafan	百家饭
baijian	摆件
baijiaxing	百家姓
baijiesu	白介素
baijiezi	白芥子
baijinka	白金卡
baikai	摆开
bailanhua	白兰花
baili	百丽
bailian	白鲢
bailianjiao	白莲教
bailongma	白龙马
bailun	拜伦
bailuyuan	白鹿原
baima	白马
baimangzhong	百忙中
baimaonv	白毛女
baimatou	拜码头
baimuda	百慕大
baimudaqundao	百慕大群岛
bainiangzi	白娘子
baipuer	摆谱儿
baiqi	白起
baiqiangxian	百强县
baiqitun	白鳍豚
baiqiuen	白求恩
bairen	拜仁
bairihong	百日红
baise	百色
baisensen	白森森
baiseshi	百色市
baishen	拜神
baisibudeqijie	百思不得其解
baisimai	百思买
baisuzhen	白素贞
baitaner	摆摊儿
baitao	败逃
baitiane	白天鹅
baitoufa	白头发
baiwanfenzhiyi	百万分之一
baiwei	百威
baiweishu	百位数
baixianpi	白鲜皮
baixianyong	白先勇
baixie	拜谢
baixun	白鲟
baiyangdian	白洋淀
baiyangzuo	白羊座
baiyansong	白岩松
baiyulan	白玉兰
baiyunguan	白云观
baizaonian	拜早年
baizheng	摆正
baizhi	白纸
baizhima	白芝麻
baizhongren	白种人
baizi	稗子
baizishi	摆姿势
baizu	白族
bajianer	拔尖儿
bajin	巴金
bakelai	巴克莱
bakelaiyinhang	巴克莱银行
baku	巴库
bala	疤瘌
baleisitanguo	巴勒斯坦国
baleisitanjiefangzuzhi	巴勒斯坦解放组织
baleisitanminzuquanlijigou	巴勒斯坦民族权力机构
balikaixuanmen	巴黎凯旋门
balishengmuyuan	巴黎圣母院
balu	八路
bamake	巴马科
banahe	巴拿赫
banamayunhe	巴拿马运河
banbao	板报
banbenhao	版本号
banbianlian	半边莲
banchan	班禅
banchaneerdeni	班禅额尔德尼
banchang	办厂
banchao	班超
bancheng	半程
bandao	扳倒
bandaotiqijian	半导体器件
bandedao	办得到
bandu	伴读
banfei	班费
banfengjianshehui	半封建社会
banganbu	班干部
banganhan	半干旱
bangbaoshi	帮宝适
bangguangai	膀胱癌
bangka	绑卡
bangongchu	办公处
bangonghui	办公会
bangongqu	办公区
bangongyi	办公椅
bangongzhuo	办公桌
bangqiubang	棒球棒
bangu	班固
banguilian	扮鬼脸
bangzha	绑扎
bangzhen	棒针
bangzhu	帮主
banhuang	板簧
banhuilai	搬回来
banjiao	半角
banjiapiao	半价票
banka	办卡
banka	板卡
banli	搬离
banmasuo	绊马索
banmendian	板门店
banpingzihuangdang	半瓶子晃荡
banqiuxing	半球形
banqun	半群
banrizhi	半日制
bansheng	伴生
banshenqun	半身裙
banshenzhao	半身照
banshi	板式
banshirun	半湿润
banshiyuan	办事员
banshouren	半兽人
banshuanggong	半双工
banturen	班图人
banwei	班委
banxian	半仙
banxin	版心
banxing	版型
banxiu	半袖
banyanzhe	扮演者
banying	半影
banyinjie	半音阶
banyou	伴游
banyuanyin	半元音
banyuetan	半月谈
banyuexing	半月形
banyun	拌匀
banzhen	斑疹
banzi	绊子
banzuchang	班组长
banzuo	扮作
baobeier	宝贝儿
baochai	宝钗
baochun	报春
baodao	宝刀
baodao	宝岛
baodaozheng	报到证
baodating	包打听
baodiao	保钓
baoding	保定
baoe	保额
baoermo	鲍尔默
baofu	包覆
baofu	饱腹
baogaitou	宝盖头
baogan	爆肝
baogang	宝钢
baogang	爆缸
baogaodan	报告单
baoge	饱嗝
baogeli	宝格丽
baogong	包公
baogu	苞谷
baoguandan	报关单
baoguanfei	保管费
baoguanren	保管人
baohan	抱憾
baohaosi	包豪斯
baoheyou	薄荷油
baohuang	保皇
baohuangpai	保皇派
baohuceng	保护层
baohufei	保护费
baohumo	保护膜
baohuqi	保护器
baohuqi	保护期
baohutao	保护套
baoji	宝鸡
baojia	保价
baojialiyagongheguo	保加利亚共和国
baojialiyaren	保加利亚人
baojialiyayu	保加利亚语
baojian	保荐
baojiang	爆浆
baojiang	褒奖
baojianhui	保监会
baojianpin	保健品
baojianshi	保健室
baojie	宝洁
baojieyuan	保洁员
baoju	保举
baolanse	宝蓝色
baoli	保利
baoliandeng	宝莲灯
baoliuzi	保留字
baoluo	保罗
baoluo	包络
baomiju	保密局
baomo	包膜
baomo	薄膜
baomuyuan	报幕员
baopingzuo	宝瓶座
baopiqi	暴脾气
baopoyin	爆破音
baoqingtian	包青天
baoshan	保山
baoshi	饱食
baoshijie	保时捷
baoshijin	保释金
baoshishuang	保湿霜
baosongsheng	保送生
baotun	胞吞
baotuquan	趵突泉
baoweichu	保卫处
baoweiquan	包围圈
baowen	报文
baowenceng	保温层
baowentong	保温桶
baowenxiang	保温箱
baoxiandai	保险带
baoxiandai	保鲜袋
baoxianfa	保险法
baoxiang	宝箱
baoxianhe	保鲜盒
baoxianjin	保险金
baoxianye	保险业
baoxiu	报修
baoyang	抱恙
baoyici	褒义词
baoyouliang	保有量
baoyuyuan	保育员
baozhan	报站
baozhang	饱胀
baozhapin	爆炸品
baozhashi	爆炸式
baozheng	包拯
baozhengshu	保证书
baozhu	爆珠
baozhuangdai	包装袋
baozhuanghe	包装盒
baozhuangxiang	包装箱
baozinang	孢子囊
baozipu	包子铺
baozugong	包租公
baozupo	包租婆
baping	霸屏
baqi	八旗
baqie	扒窃
basa	巴萨
basai	罢赛
bashinai	巴氏奶
bashou	扒手
baside	巴斯德
basifu	巴斯夫
basike	巴斯克
batageniya	巴塔哥尼亚
batianhu	霸天虎
bawangcan	霸王餐
bawuzhe	八五折
baxian	八仙
baxiang	靶向
baxibao	靶细胞
baxigui	巴西龟
bayan	罢演
bayankalashan	巴颜喀拉山
bayidianyingzhipianchang	八一电影制片厂
bayijianjunjie	八一建军节
bayinguolengmengguzizhizhou	巴音郭楞蒙古自治州
bayue	八月
bazhe	八折
bazhentu	八阵图
bazhongshi	巴中市
bazi	坝子
beibi	贝币
beican	钡餐
beichao	北朝
beichaoxian	北朝鲜
beida	北大
beidaketazhou	北达科他州
beidao	被盗
beidongshi	被动式
beierfasite	贝尔法斯特
beiershiyanshi	贝尔实验室
beifa	北伐
beifanggongyedaxue	北方工业大学
beifanghua	北方话
beifeng	背风
beigan	备感
beigaoxi	被告席
beiguangdeng	背光灯
beihai	被害
beihan	北韩
beihuan	悲欢
beijia	倍加
beijiaer	贝加尔
beijiaoda	北交大
beijingdaxuechubanshe	北京大学出版社
beijingdianshitai	北京电视台
beijingdianyingxueyuan	北京电影学院
beijingdongwuyuan	北京动物园
beijinggongyedaxue	北京工业大学
beijinggou	北京狗
beijingguangboxueyuan	北京广播学院
beijinggugongbowuyuan	北京故宫博物院
beijinghuagongdaxue	北京化工大学
beijingjingjutuan	北京京剧团
beijingkejidaxue	北京科技大学
beijingligongdaxue	北京理工大学
beijinglinyedaxue	北京林业大学
beijingnongyedaxue	北京农业大学
beijingqingnianbao	北京青年报
beijingrenminyishujuyuan	北京人民艺术剧院
beijingse	背景色
beijingshirenminzhengfu	北京市人民政府
beijingtu	背景图
beijingwaiguoyudaxue	北京外国语大学
beijingxieheyiyuan	北京协和医院
beijingya	北京鸭
beijingyikedaxue	北京医科大学
beijingyoudiandaxue	北京邮电大学
beijiuzhou	北九州
beikaluolainazhou	北卡罗来纳州
beikao	背靠
beile	贝勒
beili	贝利
beiligong	北理工
beilin	碑林
beilu	北麓
beimaliyanaqundao	北马里亚纳群岛
beimei	北美
beimeiziyoumaoyiqu	北美自由贸易区
beimeiziyoumaoyixieding	北美自由贸易协定
beiping	北平
beiqi	北汽
beiqi	北齐
beiqing	悲情
beiqishu	北齐书
beitong	背痛
beitou	背投
beiwang	备忘
beiwei	北魏
beiya	北亚
beiyang	北洋
beiyangjun	北洋军
beiyesi	贝叶斯
beiyewu	北野武
beiyongji	备用机
beiyongjin	备用金
beiyongpin	备用品
beiyou	北邮
beiyue	北越
bengbu	蚌埠
bengchu	迸出
bengfang	泵房
bengjie	崩解
benglian	绷脸
bengong	本宫
bengsong	泵送
bengti	甭提
bengxiang	甭想
benhuangsuan	苯磺酸
benji	本机
benladeng	本拉登
benxi	本溪
benyaming	本雅明
benzhou	本周
biancai	边裁
biancan	便餐
biandan	变蛋
biandanghe	便当盒
biandiansuo	变电所
bianding	编订
bianfa	编发
biangui	变轨
bianhouwei	边后卫
bianhualv	变化率
bianhuci	辩护词
bianjiema	编解码
bianjing	汴京
bianjingxian	边境线
bianlan	边栏
bianliangming	变量名
bianmao	边贸
bianmaochong	鞭毛虫
biannei	编内
bianpinghua	扁平化
bianpingyou	扁平疣
bianpinqi	变频器
bianqianwei	边前卫
bianrou	扁肉
biansaishi	边塞诗
biansejing	变色镜
bianshengqi	变声期
bianti	辩题
bianwai	编外
bianwei	变位
bianwei	变味
bianwei	编委
bianweier	变味儿
bianweihui	编委会
bianxiao	编校
bianxieshidiannao	便携式电脑
bianxingren	变性人
bianya	变压
bianyixing	变异性
bianzhen	变阵
bianzhengweiwulun	辩证唯物论
bianzhezhu	编者注
bianzhidai	编织袋
bianzhou	扁舟
biaoba	标靶
biaobo	表伯
biaocuoqing	表错情
biaohua	裱花
biaojiu	表舅
biaolian	表链
biaoma	彪马
biaomianbo	表面波
biaoshen	表婶
biaoshipai	标示牌
biaoshipai	标识牌
biaotou	表头
biaoxi	飙戏
biaoxianyu	表现欲
biaoxing	表型
biaoxiongmei	表兄妹
biaoyangxin	表扬信
biaoyanyishujia	表演艺术家
biaoyi	表姨
biaozhiwu	标志物
biaozhundaqiya	标准大气压
biaozhunfen	标准分
biaozhunjian	标准件
biaozhunzhi	标准值
biban	壁板
bibeipin	必备品
bidagelasi	毕达哥拉斯
bidai	笔袋
bide	彼得
bideshang	比得上
bidu	必读
biduan	笔端
biejiaohuo	蹩脚货
bieke	别克
biezi	别字
bigai	笔盖
biguang	避光
bigui	壁柜
biguiyuan	碧桂园
bihe	笔盒
bihui	笔会
bihun	逼婚
biji	荸荠
bijiaoyuyanxue	比较语言学
bijiasuo	毕加索
bijuan	闭卷
bikou	闭口
biletuoliya	比勒陀利亚
bilu	闭路
bimayou	蓖麻油
bingbao	冰暴
bingbu	兵部
bingchuanxue	冰川学
bingdaogongheguo	冰岛共和国
bingdaoyu	冰岛语
bingdongsanchifeiyirizhihan	冰冻三尺非一日之寒
bingduku	病毒库
bingersuan	丙二酸
bingfang	丙方
bingfen	冰粉
bingfu	冰敷
binggan	丙肝
binggege	兵哥哥
binggui	并轨
bingguner	冰棍儿
binghaofan	病号饭
binghongcha	冰红茶
bingjia	冰架
bingjiabizhengzhidi	兵家必争之地
bingjian	兵谏
bingjiao	病娇
bingku	冰窟
bingkulong	冰窟窿
bingkuxian	兵库县
bingli	冰粒
bingliuzi	冰溜子
bingshi	冰室
bingsilv	病死率
bingsuan	丙酸
bingtui	病退
bingwang	病亡
bingxian	冰鲜
bingxihua	丙烯画
bingxin	冰心
bingyangyang	病怏怏
bingyuanxue	病原学
bingzhao	冰爪
bingzhi	并置
bingzhong	病种
bingzhongqiudanbai	丙种球蛋白
bingzhu	屏住
bingzhu	秉烛
binli	宾利
binqibu	滨崎步
binxifaniya	宾夕法尼亚
binxifaniyadaxue	宾夕法尼亚大学
binxifaniyazhou	宾夕法尼亚州
binzhou	滨州
biqi	闭气
biquan	币圈
biranxing	必然性
birerong	比热容
bisheng	毕升
bishengke	必胜客
bitelv	比特率
bitian	必填
bixi	笔洗
bixiongquan	比熊犬
bixuan	必选
bixue	鼻血
bixuejian	碧血剑
biyan	闭眼
biyezheng	毕业证
biyi	笔意
biying	必应
biying	鼻影
biyiniao	比翼鸟
biyuju	比喻句
bizhen	避震
bizheng	痹症
bizhenqi	避震器
bizhongji	比重计
boao	博鳌
bobing	薄冰
bocaiye	博彩业
bociwanagongheguo	博茨瓦纳共和国
boen	波恩
boer	玻尔
boerni	伯尔尼
bofangqi	播放器
bogeda	波哥大
bogengzi	脖颈子
bogujia	博古架
bohai	渤海
bohei	波黑
bojing	脖颈
bokai	剥开
bola	拨拉
bolandengbaomen	勃兰登堡门
bolangfeng	勃朗峰
bolangning	勃朗宁
bole	伯乐
bolibang	玻璃棒
bolicha	玻璃碴
boliheng	伯利恒
bolijiao	玻璃胶
bolinhongbaodaxue	柏林洪堡大学
bolinixiya	波利尼西亚
bolisi	玻璃丝
bolizhu	玻璃珠
boluobennisa	伯罗奔尼撒
boluozhi	菠萝汁
bomeiquan	博美犬
bopang	波旁
bopuer	波普尔
bosan	播散
boshi	博世
boshidian	博士点
boshidun	波士顿
boshidundaxue	波士顿大学
boshilun	博士伦
boshimao	博士帽
bosi	波斯
bosideng	波司登
bosiju	波斯菊
bosipulusihaixia	博斯普鲁斯海峡
bosong	泊松
boxian	拨弦
boxing	跛行
boyier	波义耳
bozhenmian	波阵面
bozhong	伯仲
bozhongji	播种机
bozhou	亳州
bozhoushi	亳州市
bubao	布包
bubugao	步步高
budan	不丹
budaochangchengfeihaohan	不到长城非好汉
budaohuanghexinbusi	不到黄河心不死
budezhi	不得志
budingbao	补丁包
budinggen	不定根
buer	布尔
buershenweike	布尔什维克
buershiweike	布尔什维克
buerzhi	布尔值
bufu	步幅
bufushu	不服输
bugai	补钙
buganjiao	不干胶
buganyueleichiyibu	不敢越雷池一步
bugeipin	补给品
bugeizhan	补给站
buji	部级
bujiadi	布加迪
bujialeisite	布加勒斯特
bujianguancaibudiaolei	不见棺材不掉泪
bujiao	补缴
bujidian	补给点
bujie	不洁
bujiemengyundong	不结盟运动
bujin	步进
bujinafasuo	布基纳法索
bujixian	补给线
bulachaiweier	布拉柴维尔
buladisilafa	布拉迪斯拉发
bulaidun	布莱顿
bulaier	布莱尔
bulaimei	不来梅
bulamaputelahe	布拉马普特拉河
bulangzu	布朗族
bulian	布帘
bulianglv	不良率
buliedian	不列颠
bulisituoer	布里斯托尔
bulongdi	布隆迪
bulongdigongheguo	布隆迪共和国
bulou	补漏
bulu	补录
bumian	布面
bumingfeihangwu	不明飞行物
bunao	补脑
buqi	补气
buquan	补全
burenzhang	不认账
buruliu	不入流
buruyishichangbajiu	不如意事常八九
bushe	布设
bushe	补射
bushefang	不设防
bushen	补肾
bushigan	不适感
bushihuo	不识货
bushilushanzhenmianmu	不识庐山真面目
bushu	捕鼠
bushui	补水
busuanzi	卜算子
butie	补铁
butongdian	不同点
butou	布头
buweiwudoumizheyao	不为五斗米折腰
buxiaozi	不孝子
buxie	补鞋
buxinxie	不信邪
buyecheng	不夜城
buyetian	不夜天
buyi	布依
buyizu	布依族
buzhen	布阵
buzhiqing	不知情
buzhuang	补妆
buzhujin	补助金
cahan	擦汗
cahen	擦痕
caibi	彩笔
caicaikan	猜猜看
caichanshui	财产税
caichaxi	采茶戏
caidiao	裁掉
caidie	彩蝶
caidu	彩度
caie	蔡锷
caigangban	彩钢板
caigoubu	采购部
caijia	菜价
caijiao	彩椒
caijiao	菜椒
caijun	才俊
caikangyong	蔡康永
caikeng	踩坑
cailanzigongcheng	菜篮子工程
cailiang	裁量
cailiaofei	材料费
cailun	蔡伦
caimao	才貌
caimiao	菜苗
caimo	彩墨
caipanxi	裁判席
caiping	彩屏
caiqian	彩铅
caiqingchong	菜青虫
caisedayinji	彩色打印机
caisepian	彩色片
caishi	采石
caitan	菜摊
caitao	彩陶
caitou	猜透
caitu	彩图
caiwenji	蔡文姬
caiwubu	财务部
caixian	财险
caixie	采撷
caixin	采信
caiye	彩页
caiye	菜叶
caiyoumen	踩油门
caiyuanzi	菜园子
caiyun	财运
caizhao	彩照
caizhengbu	财政部
caizhengting	财政厅
caizhengxue	财政学
caizhi	彩纸
caizhidao	裁纸刀
canbao	参保
cancha	残差
cancha	餐叉
cangbao	藏宝
cangbuzhu	藏不住
cangerzi	苍耳子
cangfang	仓房
canggai	舱盖
canghai	沧海
cangjie	仓颉
cangjingdong	藏经洞
cangjingge	藏经阁
cangjinglou	藏经楼
cangkou	舱口
canglangting	沧浪亭
cangshulou	藏书楼
cangtoushi	藏头诗
canhe	餐盒
canjirenyundonghui	残疾人运动会
canjizheng	残疾证
cankaojia	参考价
canlian	残联
canluan	蚕卵
canping	参评
cansaidui	参赛队
cansang	蚕桑
cansibei	蚕丝被
cansun	残损
cantuan	参团
canxiang	惨象
canxue	残血
canyi	餐椅
canzhanguo	参战国
canzhanshang	参展商
canzhaowu	参照物
caocao	曹操
caodui	草堆
caoduo	草垛
caofang	草房
caojie	草芥
caokun	曹锟
caopeng	草棚
caopi	曹丕
caoqian	草签
caoqunwu	草裙舞
caoren	草人
caosheng	草绳
caoshixing	草食性
caoti	草体
caowei	曹魏
caowu	草乌
caoyu	曹禺
caozhi	曹植
caozhong	草种
caozitou	草字头
caozongtai	操纵台
caozuogong	操作工
caozuoma	操作码
cebian	侧边
cechongdian	侧重点
cefeng	侧风
ceguang	测光
cehoufang	侧后方
cehuang	测谎
cehuashu	策划书
cehuixue	测绘学
cejing	测井
celian	侧脸
cengcishujuku	层次数据库
cenggong	曾巩
cengqinghong	曾庆红
cengshu	层数
cengsunnv	曾孙女
cengxi	层析
cengzu	曾祖
cengzufu	曾祖父
cengzumu	曾祖母
ceqing	侧倾
ceshi	侧视
ceshiban	测试版
ceshitu	侧视图
ceshui	侧睡
cexiang	侧向
ceyan	侧颜
ceye	册页
ceyi	侧翼
cezi	测字
chaan	查案
chabansheng	插班生
chabiao	查表
chabiehua	差别化
chaboshi	茶博士
chachang	茶厂
chachulai	查出来
chadian	插电
chadie	茶碟
chadong	差动
chaduofen	茶多酚
chafen	查分
chahaer	察哈尔
chahao	叉号
chaidamu	柴达木
chaidamupendi	柴达木盆地
chaidan	拆弹
chaifang	柴房
chaihuo	拆伙
chaikefusiji	柴可夫斯基
chaikefusiji	柴科夫斯基
chaiqianhu	拆迁户
chaixiang	拆箱
chakai	叉开
chake	茶客
chali	查理
chaliman	查理曼
chanajian	刹那间
chanchengpin	产成品
chanchong	馋虫
chanding	禅定
chandou	缠斗
changan	长安
changanjie	长安街
changbaishan	长白山
changchuan	长传
changchun	长春
changchundianyingzhipianchang	长春电影制片厂
changde	常德
changdeshi	常德市
changdu	昌都
changduanju	长短句
change	嫦娥
changfang	厂方
changfu	常服
changgong	唱工
changgong	长工
changgu	长鼓
changgua	长褂
changhenge	长恨歌
changjianghoulangtuiqianlang	长江后浪推前浪
changjiangsanjiaozhou	长江三角洲
changjiao	长焦
changjiaotong	肠绞痛
changjingluan	肠痉挛
changjingtou	长镜头
changju	长句
changjun	场均
changkuan	长款
changliao	畅聊
changlong	长隆
changmaotu	长毛兔
changmianhua	场面话
changmingsuo	长命锁
changongxiao	产供销
changpeng	敞篷
changqi	长崎
changqingshu	常青树
changrongpian	肠溶片
changsanjiao	长三角
changsheng	常胜
changshoumian	长寿面
changshu	常熟
changshushi	常熟市
changtiao	唱跳
changtiaoxing	长条形
changtuqichezhan	长途汽车站
changwai	场外
changweibing	肠胃病
changwen	长文
changxiang	唱响
changxiang	长项
changximo	肠系膜
changxing	畅行
changxiushan	长袖衫
changya	常压
changyandao	常言道
changyou	畅游
changzhang	场长
changzhi	长治
changzhou	常州
changzhou	长轴
changzhujue	唱主角
chanpinxian	产品线
chanquanzheng	产权证
chanrang	禅让
chanru	掺入
chansi	禅寺
chanxue	铲雪
chanyedai	产业带
chanyeyuan	产业园
chanyi	禅意
chanyouyou	颤悠悠
chanza	掺杂
chanzaji	掺杂剂
chaobao	超薄
chaobi	炒币
chaochang	超长
chaocuo	晁错
chaodiwen	超低温
chaoduanku	超短裤
chaofen	炒粉
chaogan	炒肝
chaogaopin	超高频
chaogaowen	超高温
chaogaoya	超高压
chaoguangjiao	超广角
chaohan	朝韩
chaohu	巢湖
chaohu	超乎
chaohuhu	潮乎乎
chaojidao	超级稻
chaoju	潮剧
chaojuxing	超巨星
chaoliang	超量
chaoniangao	炒年糕
chaonv	超女
chaopai	潮牌
chaoqi	抄起
chaoqi	超期
chaoshan	潮汕
chaoshengsu	超声速
chaotianbi	朝天鼻
chaotianmen	朝天门
chaoxiancheng	超线程
chaoxianlaodongdang	朝鲜劳动党
chaoxianrenminjun	朝鲜人民军
chaoxianwen	朝鲜文
chaoyan	超验
chaoyiliu	超一流
chaozhou	潮州
chaozhoucai	潮州菜
chapan	茶盘
chapiao	查票
chaqi	岔气
chaqi	茶器
chaqin	查寝
chasha	查杀
chashaofan	叉烧饭
chashe	茶社
chashi	茶匙
chashi	茶室
chashugu	茶树菇
chashuyou	茶树油
chatuo	茶托
chaweisi	查韦斯
chaxie	茶歇
chaxu	插叙
chayangji	插秧机
chaye	插页
chaye	茶业
chayeguan	茶叶罐
chayidian	差一点
chayiguan	茶艺馆
chayou	茶油
chayuan	茶园
chazha	茶渣
chazhang	查账
chazhi	差值
chazhong	查重
chazhuo	茶桌
chaziyou	茶籽油
chebiao	车标
chechen	车臣
chedan	撤单
chedao	车刀
cheduan	扯断
cheernixuefusiji	车尔尼雪夫斯基
chefeng	车缝
chegulu	车轱辘
chekuang	车况
cheliuliang	车流量
chemafei	车马费
chemi	车迷
chenchong	陈冲
chendanqing	陈丹青
chendu	晨读
chenfeng	晨风
chengbao	承保
chengbaodi	承包地
chengbaoren	承保人
chengbaozerenzhi	承包责任制
chengbaozhi	承包制
chengbing	称病
chengde	承德
chengdeshi	承德市
chengdui	成堆
chengduo	城垛
chengfengu	成分股
chenggongxue	成功学
chenggui	城轨
chengguo	撑过
chenghong	橙红
chenghua	橙花
chenghuang	城隍
chengji	城际
chengjian	城建
chengjian	成键
chengjiaoliang	成交量
chengjiujiang	成就奖
chengmingqu	成名曲
chengou	尘垢
chengpinlv	成品率
chengqi	称奇
chengshang	呈上
chengshihua	程式化
chengshuqi	成熟期
chenguang	晨光
chenguanxi	陈冠希
chengwuzhang	乘务长
chengwuzu	乘务组
chengxiong	逞凶
chengxubao	程序包
chengxuhua	程序化
chengya	承压
chengyaojin	程咬金
chengyuan	乘员
chengzhangxing	成长型
chengzheng	诚征
chengzhongqiang	承重墙
chengzhu	城主
chengzi	蛏子
chenhe	陈赫
chenhuan	尘寰
chenhui	晨会
chenjiageng	陈嘉庚
chenjingrun	陈景润
chenkun	陈坤
chenliegui	陈列柜
chenliepin	陈列品
chenluan	趁乱
chenmian	沉眠
chenmoquan	沉默权
chenpeisi	陈佩斯
chenqiaoen	陈乔恩
chenqingbiao	陈情表
chenshe	陈涉
chenshou	称手
chenshuibian	陈水扁
