aiger	矮个儿	儿化 r 码非法音节;保留 aigeer
guaiji	古埃及	歧义切分码 gu-ai-ji 会切成 guai-ji
gengshi	羹匙	错码 匙=chi;保留 gengchi
gongyushanqishi	工欲善其事	半截谚语;非输入单位
guohuir	过会儿	儿化 r 码;保留 guohuier
haonanr	好男儿	儿化 r 码;保留 haonaner
huar	花儿	儿化 r 码且无 er 形;v1 仍可打
hancang	汉藏	错码 藏=zang
hanshi	函式	台湾用语;大陆规范为 函数;码上已有 韩式/寒湿
jiemenr	姐们儿	儿化 r 码;保留 jiemener
jinr	今儿	儿化 r 码;保留 jiner
kanr	坎儿	儿化 r 码;保留 kaner
ker	壳儿	儿化 r 码;保留 keer
kerenr	可人儿	儿化 r 码;保留 kerener
kuaibanr	快板儿	儿化 r 码;保留 kuaibaner
liandanr	脸蛋儿	儿化 r 码;保留 liandaner
liangkour	两口儿	儿化 r 码;保留 liangkouer
liaotianr	聊天儿	儿化 r 码;保留 liaotianer
maliur	麻溜儿	儿化 r 码;保留 maliuer
mar	马儿	儿化 r 码;保留 maer
meicuor	没错儿	儿化 r 码;保留 meicuoer
meijinr	没劲儿	儿化 r 码;保留 meijiner
liulangr	流浪儿	儿=实词 er;r 码错且无 er 形
meiqur	没趣儿	儿化 r 码;保留 meiquer
meizhunr	没准儿	儿化 r 码;保留 meizhuner
mingmianr	明面儿	儿化 r 码;保留 mingmianer
mingr	明儿	儿化 r 码;保留 minger
naoguar	脑瓜儿	儿化 r 码且无 er 形
pianrjing	片儿警	儿化 r 码;保留 pianerjing
piao	皮袄	歧义切分码 pi-ao 写成 piao;会撞 票/飘
muyangzuo	牡羊座	台湾用语;大陆规范为 白羊座
niuzibu	牛仔布	错码 仔=zai
niuzifu	牛仔服	错码 仔=zai;保留 niuzaifu
niuziku	牛仔裤	错码 仔=zai
niuziyi	牛仔衣	错码 仔=zai
niuzizhuang	牛仔装	错码 仔=zai
qianggenr	墙根儿	儿化 r 码;保留 qianggener
renjinr	韧劲儿	儿化 r 码;保留 renjiner
qingcangxian	青藏线	错码 藏=zang
shir	事儿	儿化 r 码;保留 shier
shijinr	使劲儿	儿化 r 码;保留 shijiner
taor	套儿	儿化 r 码;保留 taoer
wanr	玩儿	儿化 r 码;保留 waner
wanrming	玩儿命	儿化 r 码;保留 wanerming
weir	味儿	儿化 r 码;保留 weier
xiangnair	香奈儿	r 码;儿=实词 er;保留 xiangnaier
xiaobianr	小辫儿	儿化 r 码;保留 xiaobianer
xiaoyangr	小样儿	儿化 r 码;保留 xiaoyanger
xiehuir	歇会儿	儿化 r 码;保留 xiehuier
xiaohair	小孩儿	儿化 r 码且无 er 形;v1 仍可打
xicangzizhiqu	西藏自治区	错码 藏=zang
weichuxie	胃出血	错码 血=xue(医学词);保留 weichuxue
xiechanggui	血常规	错码 血=xue(医学词)
xinyanr	心眼儿	儿化 r 码;保留 xinyaner
yanpir	眼皮儿	儿化 r 码;保留 yanpier
yidianr	一点儿	儿化 r 码;保留 yidianer
yalucangbujiang	雅鲁藏布江	错码 藏=zang;保留 yaluzangbujiang
zhanbianr	沾边儿	儿化 r 码;保留 zhanbianer
zhengger	整个儿	儿化 r 码;保留 zhenggeer
zhangchundianyingzhipianchang	长春电影制片厂	错码 长=chang;保留 changchun...
zhangjiangkou	长江口	错码 长=chang
zhangtuche	长途车	错码 长=chang
zhangtufei	长途费	错码 长=chang
zhangqing	长情	错码 长=chang
changlaopai	长老派	错码 长=zhang(长老);保留 zhanglaopai
zhuanquanr	转圈儿	儿化 r 码;保留 zhuanquaner
ziweir	滋味儿	儿化 r 码;保留 ziweier
zir	子儿	儿化 r 码且无 er 形;v1 仍可打
